AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Oni Kannan,47.0,1.0,A1
2,1,Arunima Ahuja,36.0,1.0,A2
3,1,Pahal Oak,39.0,,A3
4,1,Nachiket Kale,,1.0,A4
5,2,Chakradev Kari,40.0,1.0,A1
6,3,Nihal Shere,45.0,,A1
7,4,Luke Lanka,,1.0,A1
8,5,Theodore Devi,,1.0,A1
9,5,Gavin Batta,69.0,1.0,A2
10,5,Michael Dutta,38.0,2.0,A3
11,6,Chanchal Tripathi,,1.0,A1
12,7,Anirudh Choudhury,20.0,1.0,A1
13,7,Damyanti Khatri,58.0,1.0,A2
14,8,Raksha Varughese,46.0,2.0,A1
15,9,Arya Sunder,,,A1
16,10,Logan Sami,,1.0,A1
17,11,Nitesh Raghavan,26.0,2.0,A1
18,11,Madhavi Lanka,46.0,2.0,A2
19,12,Wahab Raval,47.0,1.0,A1
20,13,Yashawini Lanka,47.0,,A1
21,13,Ikshita Biswas,19.0,1.0,A2
22,13,Kala Mane,62.0,1.0,A3
23,14,Gauri De,17.0,2.0,A1
24,14,Neel Sathe,38.0,1.0,A2
25,14,Aditya Choudhury,61.0,3.0,A3
26,15,Hritik Raja,65.0,1.0,A1
27,15,Upma Kapadia,36.0,,A2
28,16,Reyansh Rastogi,53.0,1.0,A1
29,17,Januja Sankar,15.0,2.0,A1
30,17,Ganga Murthy,53.0,2.0,A2
31,18,Udyati Sathe,24.0,2.0,A1
32,18,Tanay Vaidya,50.0,1.0,A2
33,19,Hredhaan Sandal,58.0,1.0,A1
34,20,Aradhana Verma,50.0,1.0,A1
35,20,William Maharaj,23.0,2.0,A2
36,21,Unnati Sagar,33.0,1.0,A1
37,22,Vinaya Kanda,53.0,1.0,A1
38,22,Rajata Sunder,56.0,3.0,A2
39,22,Lopa Nayar,28.0,2.0,A3
40,22,Noah Sibal,19.0,2.0,A4
41,23,Ekapad Baria,18.0,1.0,A1
42,23,Yug Iyengar,45.0,2.0,A2
43,23,Michael Khare,58.0,2.0,A3
44,24,Kamala Biswas,61.0,2.0,A1
45,24,Advik Salvi,68.0,2.0,A2
46,24,Hitesh Sant,51.0,1.0,A3
47,25,Vinaya Kala,64.0,1.0,A1
48,26,Damini Pillay,15.0,2.0,A1
49,26,Hemangini Sandal,61.0,1.0,A2
50,26,Indira Setty,35.0,2.0,A3
51,27,Chasmum Atwal,65.0,,A1
52,27,Anusha Bath,,1.0,A2
53,27,Brinda Date,18.0,1.0,A3
54,28,Frederick Kothari,53.0,,A1
55,29,Upma Manne,27.0,1.0,A1
56,29,Vincent Mani,,2.0,A2
57,29,Sudiksha Bobal,25.0,1.0,A3
58,29,Aishani Hora,,1.0,A4
59,30,Rachana Naidu,26.0,1.0,A1
60,31,Arunima Golla,66.0,1.0,A1
61,31,Vyanjana Chand,70.0,2.0,A2
62,32,Zarna Pathak,,1.0,A1
63,33,Ishaan Shenoy,59.0,1.0,A1
64,34,Vasudha Sodhi,,2.0,A1
65,34,Tanmayi Dhillon,17.0,2.0,A2
66,34,Rayaan Trivedi,54.0,2.0,A3
67,35,Max Tandon,47.0,1.0,A1
68,35,Jonathan Thakkar,,1.0,A2
69,36,Nimrat Dubey,,2.0,A1
70,37,Guneet Chaudhry,51.0,2.0,A1
71,37,Ojas Mistry,28.0,2.0,A2
72,38,Raagini Dhingra,,2.0,A1
73,39,Wridesh Tank,,1.0,A1
74,40,Warjas Raj,43.0,2.0,A1
75,40,Chakrika Merchant,43.0,1.0,A2
76,40,Meghana Maharaj,,2.0,A3
77,41,Ranveer Krishna,37.0,,A1
78,42,Faqid Dhaliwal,55.0,2.0,A1
79,42,Mekhala Pau,37.0,1.0,A2
