ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Girik Kamdar,61.0,,,,2
2,2,Kritika Brar,56.0,,,,1
3,3,Shaurya Loke,35.0,,,,2
4,4,Siddharth Murty,32.0,,,,1
5,5,Yatin Yohannan,75.0,,,,1
6,6,Chaaya Saran,30.0,,,,1
7,7,Michael Prakash,45.0,,,,2
8,8,Siddharth Zacharia,68.0,,,,1
9,9,Veer Bir,,,,,1
10,10,Ikbal Kothari,37.0,,,,1
11,11,Niharika Sunder,43.0,,,,3
12,12,Dakshesh Trivedi,35.0,,,,2
13,13,Elijah Andra,44.0,,,,2
14,14,Charan Chanda,20.0,,,,1
15,15,Peter Sachar,63.0,,,,2
16,16,Triveni Palla,,,,,2
17,17,Lekha Gupta,70.0,,,,1
18,18,Aadi Modi,38.0,,,,1
19,19,Leena Talwar,54.0,,,,2
20,20,Sanaya Dutt,67.0,,,,2
21,21,Michael Kala,66.0,,,,2
22,22,Samuel Salvi,36.0,,,,2
23,23,Finn Singhal,,,,,2
24,24,Charvi Dara,55.0,,,,1
25,25,Ladli Nayar,70.0,,,,1
26,26,Anay Chander,27.0,,,,2
27,27,Aradhana Vohra,40.0,,,,2
28,28,Vyanjana Borah,64.0,,,,1
29,29,Finn Dugar,21.0,,,,1
30,30,Xiti Zacharia,39.0,,,,1
31,31,Atharv Chand,64.0,,,,2
32,32,Yoshita Agarwal,27.0,,,,2
33,33,Nathan Mukhopadhyay,23.0,,,,2
34,34,Mitesh Tara,,,,,1
35,35,Tamanna Nagy,37.0,,,,2
36,36,Harish Sarraf,26.0,,,,2
37,37,Ekapad Keer,28.0,,,,2
38,38,Chakradhar Nair,,,,,1
39,39,Nisha Gole,,,,,1
40,40,Chandani Samra,50.0,,,,1
41,41,Chandran Taneja,28.0,,,,2
42,42,Aarini Subramaniam,71.0,,,,1
43,43,Timothy Bhatnagar,69.0,,,,2
44,44,Sai Keer,71.0,,,,2
45,45,Atharv Deep,36.0,,,,2
46,46,Ishaan Bhatt,,,,,2
47,47,Caleb Verma,,,,,1
48,48,Ethan Buch,,,,,1
49,49,Hardik Contractor,63.0,,,,1
50,50,Dhriti Sane,54.0,,,,1
