EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,21,1,3,2,KA22280,Pahal Balay,1993-09-05,1,2,0,2015-12-31
2,4,2,1,2,KA19116,Jagrati Padmanabhan,1983-08-01,1,8,0,2013-06-19
3,27,3,4,1,KA51347,Fariq Kaul,1996-12-16,1,1,0,2019-04-21
4,2,4,4,4,KA30969,Theodore Nair,1983-07-26,1,4,0,2012-08-02
5,19,5,4,2,KA89507,Amara Oak,1993-10-20,2,5,0,2021-09-14
6,14,6,4,2,KA46509,Alka Wable,1989-05-12,2,1,0,2013-05-27
7,7,7,3,4,KA48890,Abhimanyu Bobal,1990-09-04,1,2,1,2014-10-15
8,8,8,5,3,KA27154,Raagini Pandya,1973-11-12,2,7,0,2000-04-15
9,10,9,1,2,KA25129,Turvi Krish,1976-11-24,2,8,0,2001-11-06
10,27,10,1,1,KA57795,Mohammed Gupta,1994-05-10,2,5,0,2019-10-18
11,13,11,5,2,KA25118,Advika Jayaraman,1984-12-01,2,8,0,2007-03-19
12,24,12,1,1,KA81819,Shivansh Oza,1979-12-03,2,8,0,2006-06-17
13,8,13,2,1,KA70901,Mohammed Khalsa,1982-09-09,2,3,0,2006-03-03
14,10,9,3,1,KA89276,Guneet Bedi,1973-03-21,2,5,0,1998-05-13
15,29,14,2,4,KA91560,Rajata Vaidya,1995-06-12,1,4,0,2018-11-10
16,18,15,1,2,KA36130,Eta Rau,1981-03-06,1,5,0,2005-12-07
17,23,16,4,2,KA93307,Chakradhar Konda,1975-09-02,1,4,0,2001-09-18
18,16,17,4,3,KA41635,Edhitha Savant,1975-03-12,1,5,0,1998-02-19
19,10,18,5,4,KA35242,Bhavika Keer,1985-08-15,1,6,0,2008-12-16
20,16,17,5,4,KA88139,Jairaj Shan,1972-05-13,1,5,0,1997-06-26
21,20,19,3,1,KA37235,Meera Bala,1974-12-31,3,1,0,1998-02-04
22,31,20,4,4,KA74722,Ishwar Kamdar,1974-12-13,1,2,0,2002-12-27
23,22,21,5,3,KA27172,Ekantika Korpal,1985-06-23,2,3,0,2013-08-14
24,17,22,2,3,KA49132,Vamakshi Swaminathan,1987-04-12,1,6,0,2012-06-07
25,31,23,4,4,KA78937,Diya Dar,1974-10-05,1,6,0,1997-11-11
26,23,24,1,3,KA32946,Ishaan Bhattacharyya,1979-03-31,2,5,0,2003-02-19
27,9,25,5,1,KA84963,Saanvi Mishra,1983-08-07,1,8,0,2009-11-10
28,30,26,4,4,KA25095,Umang Dixit,1985-02-13,1,6,0,2010-11-26
29,29,27,1,1,KA57537,Bhavya Rattan,1984-08-29,2,7,0,2009-04-17
30,1,28,3,4,KA13379,Karan Mani,1977-07-31,2,7,0,2006-12-23
31,31,23,5,4,KA87356,Zayan Kashyap,1979-11-15,2,3,0,2007-06-28
32,14,29,2,2,KA95814,Ekaraj Majumdar,1996-01-18,2,4,0,2019-04-25
