VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Yashasvi Bala,,1.0,1
2,2,Janaki Handa,60.0,2.0,0
3,3,Onveer Walla,34.0,1.0,1
4,4,Xalak Randhawa,71.0,1.0,0
5,5,Priya Rastogi,7.0,2.0,0
6,6,Sudiksha Aggarwal,,,1
7,6,Xiti Gokhale,52.0,2.0,0
8,7,Aadi Naik,,2.0,0
9,8,Devika Rastogi,24.0,2.0,0
10,9,Ganga Bobal,1.0,1.0,0
11,10,Ranveer Yadav,36.0,1.0,0
12,11,Tanay Rattan,60.0,1.0,1
13,12,Quincy Biswas,35.0,2.0,0
14,13,Harish Borah,30.0,2.0,0
15,14,Aradhana Basu,,2.0,1
16,15,Praneel Natarajan,76.0,2.0,0
17,15,Yuvraj Loke,66.0,1.0,0
18,16,Vedant Kapoor,53.0,1.0,1
19,17,Chaitanya Sarin,1.0,1.0,0
20,17,Zinal Yohannan,48.0,1.0,1
21,18,Shivansh Sani,33.0,1.0,0
22,19,Yagnesh Divan,65.0,3.0,1
23,20,Shivani Lad,29.0,1.0,0
24,21,Oeshi Reddy,,2.0,0
25,22,Anmol Rai,16.0,1.0,0
26,22,Abeer Pandey,25.0,2.0,0
27,22,Madhavi Saini,53.0,,0
28,23,Charles Palla,17.0,2.0,1
29,24,Idika Walia,58.0,1.0,1
30,25,Warda Nair,,1.0,0
31,26,Timothy Ravel,5.0,1.0,0
32,27,Harish Hari,37.0,2.0,0
33,27,Utkarsh Patel,85.0,1.0,0
34,28,Max Dixit,85.0,2.0,0
35,29,Oscar Borde,17.0,2.0,0
36,29,Aarnav Rege,69.0,3.0,0
37,30,Raksha Buch,1.0,,0
38,31,Ansh Luthra,63.0,1.0,0
39,31,Parth Singhal,36.0,2.0,0
40,32,Odika Bhagat,17.0,1.0,0
41,33,Nikita Chander,64.0,2.0,0
42,34,Yashodhara Mahajan,,2.0,0
43,35,William Rajagopal,12.0,1.0,0
44,35,Nirja Bassi,64.0,1.0,0
45,35,Urvashi Raj,77.0,,0
46,36,Tanmayi Aurora,75.0,1.0,0
47,37,Utkarsh Chana,14.0,2.0,0
48,38,Chaaya Parmer,38.0,2.0,0
49,39,Parth Brar,67.0,,0
50,40,Tanmayi Mittal,13.0,1.0,0
51,40,Leena Subramanian,,1.0,0
52,41,Victor Pandey,38.0,,0
53,42,Hamsini Contractor,,,0
54,43,Chasmum Rege,75.0,2.0,0
55,44,Hardik Pillai,63.0,3.0,0
56,44,Darsh Rao,1.0,1.0,0
