case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
UDR,Heinous,Under Investigation,Tamil Nadu,Mysuru,High Court Bengaluru,Police Station,Devaraja PS,KA83563,Rajesh Chatterjee,Head Constable,Circle Inspector,1976-04-17,Female,O Positive,1,2003-04-11,200010001202400001,202400001,2024-04-05,Occurrence reported at Devaraja PS under major head. Action taken.,2024-04-04T00:00:00,2024-04-04T01:00:00,2024-04-05T09:00:00,12.698,76.4081,"Incident details at lat 12.698, lon 76.4081.",Public Nuisance,Street Fighting,IPC,Indian Penal Code,IPC,324,Voluntarily causing hurt,1,1,Deepak Das,29.0,Business,Christian,General,Male,Sanjay Patel,15.0,Transgender,1,Vijay Joshi,24.0,Female,A1,1.0,2024-04-08,Tamil Nadu,Mysuru,Devaraja PS,KA83563,High Court Bengaluru,Vijay Joshi,Kiran Mukherjee,2024-06-01T11:00:00,C,KA83563
UDR,Heinous,Under Investigation,Tamil Nadu,Mysuru,High Court Bengaluru,Police Station,Devaraja PS,KA83563,Rajesh Chatterjee,Head Constable,Circle Inspector,1976-04-17,Female,O Positive,1,2003-04-11,200010001202400001,202400001,2024-04-05,Occurrence reported at Devaraja PS under major head. Action taken.,2024-04-04T00:00:00,2024-04-04T01:00:00,2024-04-05T09:00:00,12.698,76.4081,"Incident details at lat 12.698, lon 76.4081.",Public Nuisance,Street Fighting,IPC,Indian Penal Code,IPC,324,Voluntarily causing hurt,1,1,Priya Patil,42.0,Labourer,Jain,SC,Male,Suresh Nair,13.0,Male,0,Kiran Mukherjee,58.0,Female,A2,,,,,,,,,,,,
FIR,Heinous,Undetected,Maharashtra,Mysuru,High Court Bengaluru,Police Station,Rural PS,KA17331,Prakash Sharma,Sub-Inspector,Circle Inspector,1988-12-17,Male,A Positive,0,2011-12-12,100010005202600001,202600001,2026-12-08,Occurrence reported at Rural PS under major head. Action taken.,2026-12-07T20:00:00,2026-12-07T23:00:00,2026-12-08T12:00:00,12.6588,75.2971,"Incident details at lat 12.6588, lon 75.2971.",Public Nuisance,Public Drunkenness,KPA,Karnataka Police Act,KPA,92,Punishment for street offences,1,1,Priya Mukherjee,29.0,Labourer,Muslim,OBC,Transgender,Vijay Sharma,19.0,Male,0,Kiran Kumar,61.0,Transgender,A1,1.0,2026-12-11,Maharashtra,Mysuru,Rural PS,KA17331,High Court Bengaluru,Kiran Kumar,"Sanjay Das,Sanjay Mehta",2027-01-24T11:00:00,C,KA17331
FIR,Heinous,Undetected,Maharashtra,Mysuru,High Court Bengaluru,Police Station,Rural PS,KA17331,Prakash Sharma,Sub-Inspector,Circle Inspector,1988-12-17,Male,A Positive,0,2011-12-12,100010005202600001,202600001,2026-12-08,Occurrence reported at Rural PS under major head. Action taken.,2026-12-07T20:00:00,2026-12-07T23:00:00,2026-12-08T12:00:00,12.6588,75.2971,"Incident details at lat 12.6588, lon 75.2971.",Public Nuisance,Public Drunkenness,KPA,Karnataka Police Act,KPA,92,Punishment for street offences,1,1,Kiran Chatterjee,57.0,Driver,Christian,OBC,Male,Sunita Singh,54.0,Female,1,Sanjay Das,59.0,Female,A2,,,,,,,,,,,,
FIR,Heinous,Undetected,Maharashtra,Mysuru,High Court Bengaluru,Police Station,Rural PS,KA17331,Prakash Sharma,Sub-Inspector,Circle Inspector,1988-12-17,Male,A Positive,0,2011-12-12,100010005202600001,202600001,2026-12-08,Occurrence reported at Rural PS under major head. Action taken.,2026-12-07T20:00:00,2026-12-07T23:00:00,2026-12-08T12:00:00,12.6588,75.2971,"Incident details at lat 12.6588, lon 75.2971.",Public Nuisance,Public Drunkenness,KPA,Karnataka Police Act,KPA,92,Punishment for street offences,1,1,,,,,,,,,,,Sanjay Mehta,45.0,Male,A3,,,,,,,,,,,,
FIR,Heinous,Under Investigation,Karnataka,Bengaluru City,High Court Bengaluru,Police Station,Rural PS,KA50306,Prakash Sharma,Head Constable,Station Writer,1992-07-03,Transgender,AB Positive,1,2020-06-26,100030005202400001,202400001,2024-06-25,Occurrence reported at Rural PS under major head. Action taken.,2024-06-24T00:00:00,2024-06-24T01:00:00,2024-06-25T10:00:00,14.6362,77.3267,"Incident details at lat 14.6362, lon 77.3267.",Narcotics,Possession,IPC,Indian Penal Code,IPC,302,Murder,1,1,Anil Pillai,55.0,Business,Christian,ST,Male,Ramesh Patel,52.0,Female,1,Prakash Joshi,22.0,Female,A1,1.0,2024-06-30,Karnataka,Bengaluru City,Rural PS,KA50306,High Court Bengaluru,Prakash Joshi,,2024-07-10T11:00:00,C,KA50306
FIR,Heinous,Report Beece (B-Report),Karnataka,Mysuru,JMFC I Court,Police Station,Gandhinagar PS,KA71993,Sunita Nair,Constable,Station Writer,1974-03-02,Female,B Positive,0,1999-02-24,100010002202500001,202500001,2025-02-17,Occurrence reported at Gandhinagar PS under major head. Action taken.,2025-02-16T17:00:00,2025-02-16T18:00:00,2025-02-17T12:00:00,13.7286,74.972,"Incident details at lat 13.7286, lon 74.972.",Public Nuisance,Street Fighting,KPA,Karnataka Police Act,KPA,92,Punishment for street offences,1,1,Rahul Patil,23.0,Driver,Christian,General,Male,Anita Joshi,14.0,Female,0,Geeta Pillai,31.0,Female,A1,2.0,2025-02-21,Karnataka,Mysuru,Gandhinagar PS,KA71993,JMFC I Court,Geeta Pillai,Rahul Reddy,2025-03-31T11:00:00,B,KA71993
FIR,Heinous,Report Beece (B-Report),Karnataka,Mysuru,JMFC I Court,Police Station,Gandhinagar PS,KA71993,Sunita Nair,Constable,Station Writer,1974-03-02,Female,B Positive,0,1999-02-24,100010002202500001,202500001,2025-02-17,Occurrence reported at Gandhinagar PS under major head. Action taken.,2025-02-16T17:00:00,2025-02-16T18:00:00,2025-02-17T12:00:00,13.7286,74.972,"Incident details at lat 13.7286, lon 74.972.",Public Nuisance,Street Fighting,KPA,Karnataka Police Act,KPA,92,Punishment for street offences,1,1,Rajesh Nair,54.0,Driver,Muslim,ST,Male,Rahul Kumar,16.0,Male,0,Rahul Reddy,42.0,Male,A2,,,,,,,,,,,,
FIR,Heinous,Report Beece (B-Report),Tamil Nadu,Belagavi,JMFC I Court,Police Station,Cantonment PS,KA17455,Vijay Reddy,Constable,Station Writer,1974-04-15,Male,AB Positive,1,2000-04-08,100050004202500001,202500001,2025-04-02,Occurrence reported at Cantonment PS under major head. Action taken.,2025-04-01T18:00:00,2025-04-01T20:00:00,2025-04-02T12:00:00,14.7582,76.1245,"Incident details at lat 14.7582, lon 76.1245.",Crimes Against Body,Murder,NDPS,Narcotic Drugs and Psychotropic Substances Act,NDPS,20,Punishment for cannabis possession,1,1,Rahul Singh,46.0,Unemployed,Jain,SC,Female,Deepak Joshi,38.0,Female,0,Ramesh Mukherjee,38.0,Male,A1,2.0,2025-04-04,Tamil Nadu,Belagavi,Cantonment PS,KA17455,JMFC I Court,Ramesh Mukherjee,"Amit Mukherjee,Sanjay Singh",2025-04-21T11:00:00,B,KA17455
FIR,Heinous,Report Beece (B-Report),Tamil Nadu,Belagavi,JMFC I Court,Police Station,Cantonment PS,KA17455,Vijay Reddy,Constable,Station Writer,1974-04-15,Male,AB Positive,1,2000-04-08,100050004202500001,202500001,2025-04-02,Occurrence reported at Cantonment PS under major head. Action taken.,2025-04-01T18:00:00,2025-04-01T20:00:00,2025-04-02T12:00:00,14.7582,76.1245,"Incident details at lat 14.7582, lon 76.1245.",Crimes Against Body,Murder,NDPS,Narcotic Drugs and Psychotropic Substances Act,NDPS,20,Punishment for cannabis possession,1,1,,,,,,,,,,,Amit Mukherjee,57.0,Transgender,A2,,,,,,,,,,,,
