case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
FIR,Heinous,Chargesheet Filed,Karnataka,Mandya,Mandya District & Sessions Court,Police Station,Mandya Town PS,KA22280,Pahal Balay,Head Constable,Investigating Officer,1993-09-05,Male,A Positive,0,2015-12-31,100210438202200001,202200001,2022-09-12,"On 10-09-2022, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district. Investigation taken up under IT Act.",2022-09-10T18:24:34,2022-09-10T23:24:34,2022-09-12T17:24:34,12.5041,76.9679,"Incident occurred near coordinates 12.5041, 76.9679 within the jurisdiction of Mandya Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Girik Kamdar,61.0,,,,Female,Yashasvi Bala,,Male,1,Oni Kannan,47.0,Male,A1,1.0,2022-09-20T12:24:34,Karnataka,Mandya,Mandya Town PS,KA22280,Mandya District & Sessions Court,Oni Kannan,"Arunima Ahuja,Pahal Oak",2022-12-07T12:24:34,C,KA22280
FIR,Heinous,Chargesheet Filed,Karnataka,Mandya,Mandya District & Sessions Court,Police Station,Mandya Town PS,KA22280,Pahal Balay,Head Constable,Investigating Officer,1993-09-05,Male,A Positive,0,2015-12-31,100210438202200001,202200001,2022-09-12,"On 10-09-2022, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district. Investigation taken up under IT Act.",2022-09-10T18:24:34,2022-09-10T23:24:34,2022-09-12T17:24:34,12.5041,76.9679,"Incident occurred near coordinates 12.5041, 76.9679 within the jurisdiction of Mandya Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,,Arunima Ahuja,36.0,Male,A2,,,,,,,,,,,,
FIR,Heinous,Chargesheet Filed,Karnataka,Mandya,Mandya District & Sessions Court,Police Station,Mandya Town PS,KA22280,Pahal Balay,Head Constable,Investigating Officer,1993-09-05,Male,A Positive,0,2015-12-31,100210438202200001,202200001,2022-09-12,"On 10-09-2022, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district. Investigation taken up under IT Act.",2022-09-10T18:24:34,2022-09-10T23:24:34,2022-09-12T17:24:34,12.5041,76.9679,"Incident occurred near coordinates 12.5041, 76.9679 within the jurisdiction of Mandya Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,,Pahal Oak,39.0,,A3,,,,,,,,,,,,
FIR,Heinous,Chargesheet Filed,Karnataka,Mandya,Mandya District & Sessions Court,Police Station,Mandya Town PS,KA22280,Pahal Balay,Head Constable,Investigating Officer,1993-09-05,Male,A Positive,0,2015-12-31,100210438202200001,202200001,2022-09-12,"On 10-09-2022, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district. Investigation taken up under IT Act.",2022-09-10T18:24:34,2022-09-10T23:24:34,2022-09-12T17:24:34,12.5041,76.9679,"Incident occurred near coordinates 12.5041, 76.9679 within the jurisdiction of Mandya Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,,Nachiket Kale,,Male,A4,,,,,,,,,,,,
FIR,Heinous,Under Investigation,Karnataka,Bengaluru Rural,Bengaluru Rural District & Sessions Court,Police Station,Bengaluru Rural Rural PS,KA19116,Jagrati Padmanabhan,Constable,Investigating Officer,1983-08-01,Male,O Positive,0,2013-06-19,100040173202600001,202600001,2026-05-31,"On 30-05-2026, a case of Dark Web Crime was reported at Bengaluru Rural Rural PS, Bengaluru Rural district. Investigation taken up under IT Act.",2026-05-30T00:04:02,2026-05-30T06:04:02,2026-05-31T01:04:02,13.3025,77.5369,"Incident occurred near coordinates 13.3025, 77.5369 within the jurisdiction of Bengaluru Rural Rural PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Kritika Brar,56.0,,,,Male,Janaki Handa,60.0,Female,0,Chakradev Kari,40.0,Male,A1,2.0,2026-06-07T00:04:02,Karnataka,Bengaluru Rural,Bengaluru Rural Rural PS,KA19116,Bengaluru Rural District & Sessions Court,Chakradev Kari,,,,
FIR,Non-Heinous,Under Investigation,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA51347,Fariq Kaul,Inspector,Circle Inspector,1996-12-16,Male,A Negative,0,2019-04-21,100270812202300001,202300001,2023-02-07,"On 06-02-2023, a case of Cyber Crime was reported at Udupi Town PS, Udupi district. Investigation taken up under IT Act.",2023-02-06T05:52:47,2023-02-06T10:52:47,2023-02-07T21:52:47,13.3704,74.7325,"Incident occurred near coordinates 13.3704, 74.7325 within the jurisdiction of Udupi Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Shaurya Loke,35.0,,,,Female,Onveer Walla,34.0,Male,1,Nihal Shere,45.0,,A1,,,,,,,,,,,,
FIR,Non-Heinous,Under Investigation,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari Town PS,KA30969,Theodore Nair,Inspector,Station Writer,1983-07-26,Male,AB Positive,0,2012-08-02,100020891202300002,202300002,2023-07-02,"On 01-07-2023, a case of Cryptocurrency Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act.",2023-07-01T20:57:20,2023-07-01T23:57:20,2023-07-02T10:57:20,15.2069,76.8556,"Incident occurred near coordinates 15.2069, 76.8556 within the jurisdiction of Ballari Town PS.",Cyber Crime,Cryptocurrency Crime,ITA,"Information Technology Act, 2000",IT Act,66D,Cheating by personation using a computer resource,1,1,Siddharth Murty,32.0,,,,Male,Xalak Randhawa,71.0,Male,0,Luke Lanka,,Male,A1,,,,,,,,,,,,
FIR,Heinous,Report Beece (B-Report),Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA51347,Fariq Kaul,Inspector,Circle Inspector,1996-12-16,Male,A Negative,0,2019-04-21,100270812202400001,202400001,2024-03-08,"On 07-03-2024, a case of Money Laundering was reported at Udupi Town PS, Udupi district. Investigation taken up under PMLA.",2024-03-07T17:02:14,2024-03-07T23:02:14,2024-03-08T08:02:14,13.2632,74.6939,"Incident occurred near coordinates 13.2632, 74.6939 within the jurisdiction of Udupi Town PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Yatin Yohannan,75.0,,,,Male,Priya Rastogi,7.0,Female,0,Theodore Devi,,Male,A1,,,,,,,,,,,,
FIR,Heinous,Report Beece (B-Report),Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA51347,Fariq Kaul,Inspector,Circle Inspector,1996-12-16,Male,A Negative,0,2019-04-21,100270812202400001,202400001,2024-03-08,"On 07-03-2024, a case of Money Laundering was reported at Udupi Town PS, Udupi district. Investigation taken up under PMLA.",2024-03-07T17:02:14,2024-03-07T23:02:14,2024-03-08T08:02:14,13.2632,74.6939,"Incident occurred near coordinates 13.2632, 74.6939 within the jurisdiction of Udupi Town PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,,,,,,,,,,,Gavin Batta,69.0,Male,A2,,,,,,,,,,,,
FIR,Heinous,Report Beece (B-Report),Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA51347,Fariq Kaul,Inspector,Circle Inspector,1996-12-16,Male,A Negative,0,2019-04-21,100270812202400001,202400001,2024-03-08,"On 07-03-2024, a case of Money Laundering was reported at Udupi Town PS, Udupi district. Investigation taken up under PMLA.",2024-03-07T17:02:14,2024-03-07T23:02:14,2024-03-08T08:02:14,13.2632,74.6939,"Incident occurred near coordinates 13.2632, 74.6939 within the jurisdiction of Udupi Town PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,,,,,,,,,,,Michael Dutta,38.0,Female,A3,,,,,,,,,,,,
FIR,Non-Heinous,Under Investigation,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA89507,Amara Oak,Inspector,Investigating Officer,1993-10-20,Female,B Negative,0,2021-09-14,100190539202300003,202300003,2023-08-29,"On 27-08-2023, a case of Cyber Crime was reported at Kolar Town PS, Kolar district. Investigation taken up under IT Act.",2023-08-27T11:15:05,2023-08-27T14:15:05,2023-08-29T11:15:05,13.1518,78.0938,"Incident occurred near coordinates 13.1518, 78.0938 within the jurisdiction of Kolar Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Chaaya Saran,30.0,,,,Male,Sudiksha Aggarwal,,,1,Chanchal Tripathi,,Male,A1,,,,,,,,,,,,
FIR,Non-Heinous,Under Investigation,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA89507,Amara Oak,Inspector,Investigating Officer,1993-10-20,Female,B Negative,0,2021-09-14,100190539202300003,202300003,2023-08-29,"On 27-08-2023, a case of Cyber Crime was reported at Kolar Town PS, Kolar district. Investigation taken up under IT Act.",2023-08-27T11:15:05,2023-08-27T14:15:05,2023-08-29T11:15:05,13.1518,78.0938,"Incident occurred near coordinates 13.1518, 78.0938 within the jurisdiction of Kolar Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,,,,,,,Xiti Gokhale,52.0,Female,0,,,,,,,,,,,,,,,,
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari Town PS,KA30969,Theodore Nair,Inspector,Station Writer,1983-07-26,Male,AB Positive,0,2012-08-02,300020891202100001,202100001,2021-04-09,"On 08-04-2021, a case of Cyber Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act.",2021-04-08T14:19:11,2021-04-08T20:19:11,2021-04-09T12:19:11,15.1561,76.9278,"Incident occurred near coordinates 15.1561, 76.9278 within the jurisdiction of Ballari Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Michael Prakash,45.0,,,,Female,Aadi Naik,,Female,0,Anirudh Choudhury,20.0,Male,A1,1.0,2021-04-15T12:19:11,Karnataka,Ballari,Ballari Town PS,KA30969,Ballari District & Sessions Court,Anirudh Choudhury,Damyanti Khatri,2021-05-17T12:19:11,C,KA30969
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari Town PS,KA30969,Theodore Nair,Inspector,Station Writer,1983-07-26,Male,AB Positive,0,2012-08-02,300020891202100001,202100001,2021-04-09,"On 08-04-2021, a case of Cyber Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act.",2021-04-08T14:19:11,2021-04-08T20:19:11,2021-04-09T12:19:11,15.1561,76.9278,"Incident occurred near coordinates 15.1561, 76.9278 within the jurisdiction of Ballari Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,,,,,,,,,,,Damyanti Khatri,58.0,Male,A2,,,,,,,,,,,,
FIR,Non-Heinous,Report Beece (B-Report),Karnataka,Gadag,Gadag District & Sessions Court,Police Station,Gadag Rural PS,KA46509,Alka Wable,Inspector,Investigating Officer,1989-05-12,Female,A Negative,0,2013-05-27,100140846202500001,202500001,2025-09-06,"On 06-09-2025, a case of Cyber Crime was reported at Gadag Rural PS, Gadag district. Investigation taken up under IT Act.",2025-09-06T19:13:46,2025-09-06T19:13:46,2025-09-07T04:13:46,15.4938,75.636,"Incident occurred near coordinates 15.4938, 75.636 within the jurisdiction of Gadag Rural PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Siddharth Zacharia,68.0,,,,Male,Devika Rastogi,24.0,Female,0,Raksha Varughese,46.0,Female,A1,,,,,,,,,,,,
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Chamarajanagar,Chamarajanagar District & Sessions Court,Police Station,Chamarajanagar Rural PS,KA48890,Abhimanyu Bobal,Head Constable,Station Writer,1990-09-04,Male,A Positive,1,2014-10-15,300070898202300004,202300004,2023-09-02,"On 02-09-2023, a case of Cyber Crime was reported at Chamarajanagar Rural PS, Chamarajanagar district. Investigation taken up under IT Act.",2023-09-02T08:04:11,2023-09-02T08:04:11,2023-09-02T16:04:11,11.9082,76.876,"Incident occurred near coordinates 11.9082, 76.876 within the jurisdiction of Chamarajanagar Rural PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Veer Bir,,,,,Male,Ganga Bobal,1.0,Male,0,Arya Sunder,,,A1,2.0,2023-09-09T12:04:11,Karnataka,Chamarajanagar,Chamarajanagar Rural PS,KA48890,Chamarajanagar District & Sessions Court,Arya Sunder,,2023-10-14T12:04:11,C,KA48890
FIR,Heinous,Under Investigation,Karnataka,Chikkaballapur,Chikkaballapur District & Sessions Court,Police Station,Chikkaballapur Town PS,KA27154,Raagini Pandya,Sub-Inspector,SHO,1973-11-12,Female,O Negative,0,2000-04-15,100080234202100002,202100002,2021-08-03,"On 02-08-2021, a case of Money Laundering was reported at Chikkaballapur Town PS, Chikkaballapur district. Investigation taken up under PMLA.",2021-08-02T17:27:06,2021-08-02T18:27:06,2021-08-03T19:27:06,13.4338,77.8092,"Incident occurred near coordinates 13.4338, 77.8092 within the jurisdiction of Chikkaballapur Town PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Ikbal Kothari,37.0,,,,Male,Ranveer Yadav,36.0,Male,0,Logan Sami,,Male,A1,,,,,,,,,,,,
UDR,Heinous,Under Investigation,Karnataka,Chitradurga,Chitradurga District & Sessions Court,Police Station,Chitradurga Town PS,KA25129,Turvi Krish,Constable,Investigating Officer,1976-11-24,Female,O Positive,0,2001-11-06,200100777202100003,202100003,2021-10-15,"On 14-10-2021, a case of Murder was reported at Chitradurga Town PS, Chitradurga district. Investigation taken up under IPC.",2021-10-14T18:16:20,2021-10-14T23:16:20,2021-10-16T04:16:20,14.2483,76.3459,"Incident occurred near coordinates 14.2483, 76.3459 within the jurisdiction of Chitradurga Town PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Niharika Sunder,43.0,,,,Transgender,Tanay Rattan,60.0,Male,1,Nitesh Raghavan,26.0,Female,A1,1.0,2021-10-19T22:16:20,Karnataka,Chitradurga,Chitradurga Town PS,KA25129,Chitradurga District & Sessions Court,Nitesh Raghavan,Madhavi Lanka,,,
