case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
PAR,Non-Heinous,Under Investigation,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA16016,Chirag Bhat,Deputy Superintendent,Investigating Officer,1994-07-19,Male,B Positive,1,2004-07-19,327879089202400001,202400001,2025-03-23,"On 19-03-2025, a case of Robbery was reported at Udupi Town PS, Udupi district.",2025-03-19T01:00:00,2025-03-19T06:00:00,2025-03-19T06:00:00,13.2926,74.7779,"Incident occurred near coordinates 13.2926, 74.7779 within jurisdiction of Udupi Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Ananya Verma,80,Private Employee,Hindu,General,Male,Hari Deshmukh,49,Transgender,0,Kavya Joshi,,Male,A1,1.0,2025-03-30T08:00:00,Karnataka,Udupi,Udupi Town PS,KA16016,Udupi District & Sessions Court,Kavya Joshi,"Chirag Singh,Farhan Shetty",,,
PAR,Non-Heinous,Under Investigation,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA16016,Chirag Bhat,Inspector,SHO,1984-03-21,Female,A Negative,0,2012-03-27,327879089202400001,202400001,2025-03-23,"On 19-03-2025, a case of Robbery was reported at Udupi Town PS, Udupi district.",2025-03-19T01:00:00,2025-03-19T06:00:00,2025-03-19T06:00:00,13.2926,74.7779,"Incident occurred near coordinates 13.2926, 74.7779 within jurisdiction of Udupi Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Chirag Singh,28,Male,A2,,,,,,,,,,,,
PAR,Heinous,Under Investigation,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA16016,Chirag Bhat,Head Constable,Circle Inspector,1978-03-18,Female,O Negative,0,2010-03-20,327879089202400001,202400001,2025-03-23,"On 19-03-2025, a case of Robbery was reported at Udupi Town PS, Udupi district.",2025-03-19T01:00:00,2025-03-19T06:00:00,2025-03-19T06:00:00,13.2926,74.7779,"Incident occurred near coordinates 13.2926, 74.7779 within jurisdiction of Udupi Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Farhan Shetty,,Transgender,A3,,,,,,,,,,,,
FIR,Non-Heinous,Under Investigation,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA18365,Divya Bhat,Inspector,Investigating Officer,1996-12-01,Female,O Positive,0,2020-11-22,152656618202200002,202200002,2023-11-05,"On 04-11-2023, a case of Robbery was reported at Hassan Town PS, Hassan district.",2023-11-04T09:00:00,2023-11-04T10:00:00,2023-11-04T17:00:00,12.9444,76.1271,"Incident occurred near coordinates 12.9444, 76.1271 within jurisdiction of Hassan Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Aarav Deshmukh,44,Private Employee,Hindu,General,Male,Kavya Joshi,67,Female,0,Ananya Nair,40,Male,A1,1.0,2023-11-12T15:00:00,Karnataka,Hassan,Hassan Town PS,KA18365,Hassan District & Sessions Court,Ananya Nair,Siddharth Sharma,,,
FIR,Heinous,Under Investigation,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA18365,Divya Bhat,Sub-Inspector,Station Writer,1975-05-06,Male,O Positive,1,2014-02-09,152656618202200002,202200002,2023-11-05,"On 04-11-2023, a case of Robbery was reported at Hassan Town PS, Hassan district.",2023-11-04T09:00:00,2023-11-04T10:00:00,2023-11-04T17:00:00,12.9444,76.1271,"Incident occurred near coordinates 12.9444, 76.1271 within jurisdiction of Hassan Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Siddharth Sharma,,Male,A2,,,,,,,,,,,,
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA86684,Gautam Nair,Sub-Inspector,Investigating Officer,1991-02-07,Male,O Positive,0,2015-06-05,339361120202200003,202200003,2025-04-05,"On 04-04-2025, a case of Cyber Crime was reported at Kalaburagi City PS, Kalaburagi district.",2025-04-04T04:00:00,2025-04-04T10:00:00,2025-04-04T08:00:00,17.3712,76.8779,"Incident occurred near coordinates 17.3712, 76.8779 within jurisdiction of Kalaburagi City PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Chirag Kumar,78,Private Employee,Hindu,General,Transgender,Rahul Joshi,25,Transgender,0,Isha Kumar,18,Male,A1,1.0,2025-04-12T10:00:00,Karnataka,Kalaburagi,Kalaburagi City PS,KA86684,Kalaburagi District & Sessions Court,Isha Kumar,"Kavya Gowda,Gautam Das",2025-04-20T10:00:00,A,KA86684
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA86684,Gautam Nair,Head Constable,Investigating Officer,1988-07-09,Male,B Negative,1,2017-10-22,339361120202200003,202200003,2025-04-05,"On 04-04-2025, a case of Cyber Crime was reported at Kalaburagi City PS, Kalaburagi district.",2025-04-04T04:00:00,2025-04-04T10:00:00,2025-04-04T08:00:00,17.3712,76.8779,"Incident occurred near coordinates 17.3712, 76.8779 within jurisdiction of Kalaburagi City PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,,,,,,,,,,0,Kavya Gowda,,Transgender,A2,,,,,,,,,,,,
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA86684,Gautam Nair,Inspector,Investigating Officer,1982-04-23,Female,A Positive,0,2008-08-20,339361120202200003,202200003,2025-04-05,"On 04-04-2025, a case of Cyber Crime was reported at Kalaburagi City PS, Kalaburagi district.",2025-04-04T04:00:00,2025-04-04T10:00:00,2025-04-04T08:00:00,17.3712,76.8779,"Incident occurred near coordinates 17.3712, 76.8779 within jurisdiction of Kalaburagi City PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,,,,,,,,,,0,Gautam Das,,Female,A3,,,,,,,,,,,,
FIR,Non-Heinous,Undetected,Karnataka,Bidar,Bidar District & Sessions Court,Police Station,Bidar Town PS,KA74365,Siddharth Sharma,Head Constable,SHO,1971-03-11,Male,A Negative,0,2014-07-24,196855396202300004,202300004,2022-12-15,"On 13-12-2022, a case of Robbery was reported at Bidar Town PS, Bidar district.",2022-12-13T02:00:00,2022-12-13T10:00:00,2022-12-13T06:00:00,17.9242,77.531,"Incident occurred near coordinates 17.9242, 77.531 within jurisdiction of Bidar Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Chirag Nair,42,Private Employee,Hindu,General,Female,Aarav Verma,72,Male,0,Aditi Hegde,,Male,A1,,,,,,,,,,,,
Zero FIR,Heinous,Report Beece (B-Report),Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA22164,Chirag Sharma,Inspector,Station Writer,1991-01-12,Female,A Negative,0,2009-04-16,886901842202500005,202500005,2022-05-25,"On 23-05-2022, a case of Dark Web Crime was reported at Hassan Town PS, Hassan district.",2022-05-23T21:00:00,2022-05-24T02:00:00,2022-05-24T05:00:00,13.0774,76.1098,"Incident occurred near coordinates 13.0774, 76.1098 within jurisdiction of Hassan Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Dev Das,47,Private Employee,Hindu,General,Male,Gautam Nair,53,Male,0,Chirag Gowda,27,Transgender,A1,1.0,2022-06-01T04:00:00,Karnataka,Hassan,Hassan Town PS,KA22164,Hassan District & Sessions Court,Chirag Gowda,,,,
