case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
UDR,Non-Heinous,Undetected,Karnataka,Bengaluru Urban,"Principal City Civil & Sessions Court, Bengaluru",Police Station,Bengaluru City PS,KA78169,Sanjay Singh,Inspector,SHO,1989-03-13,Male,O Negative,0,2008-12-01,227055113202600001,202600001,2022-12-06,"On 04-12-2022, a case of Assault was reported at Bengaluru City PS, Bengaluru Urban district.",2022-12-04T12:00:00,2022-12-04T19:00:00,2022-12-05T10:00:00,12.9382,77.543,"Incident occurred near coordinates 12.9382, 77.543 within jurisdiction of Bengaluru City PS.",Crimes Against Body,Assault,IPC,Indian Penal Code,IPC,351,Assault,1,1,Rahul Shetty,31,Private Employee,Hindu,General,Transgender,Aditi Kamath,41,Male,0,Divya Gowda,24,Female,A1,,,,,,,,,,,,
PAR,Non-Heinous,Report Beece (B-Report),Karnataka,Bagalkote,Bagalkote District & Sessions Court,Police Station,Bagalkote Town PS,KA66914,Rahul Das,Constable,Investigating Officer,1977-07-07,Female,A Negative,1,2019-09-06,389177940202400002,202400002,2023-12-20,"On 19-12-2023, a case of Cheating was reported at Bagalkote Town PS, Bagalkote district.",2023-12-19T16:00:00,2023-12-19T20:00:00,2023-12-20T04:00:00,16.1399,75.6389,"Incident occurred near coordinates 16.1399, 75.6389 within jurisdiction of Bagalkote Town PS.",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,420,Cheating and dishonestly inducing delivery of property,1,1,Divya Pai,72,Private Employee,Hindu,General,Female,Rahul Patil,34,Male,0,Kiran Kamath,,Female,A1,1.0,2023-12-27T18:00:00,Karnataka,Bagalkote,Bagalkote Town PS,KA66914,Bagalkote District & Sessions Court,Kiran Kamath,,,,
PAR,Non-Heinous,Under Investigation,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA21393,Vikram Pai,Head Constable,Circle Inspector,1972-02-22,Male,A Positive,1,2015-07-07,336571594202500003,202500003,2023-06-23,"On 21-06-2023, a case of Grievous Hurt was reported at Ballari City PS, Ballari district.",2023-06-21T21:00:00,2023-06-21T22:00:00,2023-06-22T13:00:00,15.1486,76.9883,"Incident occurred near coordinates 15.1486, 76.9883 within jurisdiction of Ballari City PS.",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,325,Punishment for voluntarily causing grievous hurt,1,1,Anil Gowda,58,Private Employee,Hindu,General,Transgender,Aditi Kumar,6,Male,0,Dev Sharma,23,Female,A1,1.0,2023-06-30T00:00:00,Karnataka,Ballari,Ballari City PS,KA21393,Ballari District & Sessions Court,Dev Sharma,"Isha Joshi,Divya Verma",,,
PAR,Heinous,Under Investigation,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA21393,Vikram Pai,Deputy Superintendent,Station Writer,1981-01-24,Female,AB Positive,0,2007-01-27,336571594202500003,202500003,2023-06-23,"On 21-06-2023, a case of Grievous Hurt was reported at Ballari City PS, Ballari district.",2023-06-21T21:00:00,2023-06-21T22:00:00,2023-06-22T13:00:00,15.1486,76.9883,"Incident occurred near coordinates 15.1486, 76.9883 within jurisdiction of Ballari City PS.",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,325,Punishment for voluntarily causing grievous hurt,1,1,,,,,,,,,,0,Isha Joshi,,Male,A2,,,,,,,,,,,,
PAR,Non-Heinous,Under Investigation,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA21393,Vikram Pai,Inspector,Investigating Officer,1994-01-14,Female,B Negative,1,2006-06-23,336571594202500003,202500003,2023-06-23,"On 21-06-2023, a case of Grievous Hurt was reported at Ballari City PS, Ballari district.",2023-06-21T21:00:00,2023-06-21T22:00:00,2023-06-22T13:00:00,15.1486,76.9883,"Incident occurred near coordinates 15.1486, 76.9883 within jurisdiction of Ballari City PS.",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,325,Punishment for voluntarily causing grievous hurt,1,1,,,,,,,,,,0,Divya Verma,62,Male,A3,,,,,,,,,,,,
UDR,Non-Heinous,Undetected,Karnataka,Bagalkote,Bagalkote District & Sessions Court,Police Station,Bagalkote Town PS,KA27558,Hari Singh,Constable,Investigating Officer,1979-06-15,Female,B Positive,0,2014-10-14,227183361202500004,202500004,2025-06-07,"On 04-06-2025, a case of Assault was reported at Bagalkote Town PS, Bagalkote district.",2025-06-04T11:00:00,2025-06-04T19:00:00,2025-06-05T05:00:00,16.1465,75.7266,"Incident occurred near coordinates 16.1465, 75.7266 within jurisdiction of Bagalkote Town PS.",Crimes Against Body,Assault,IPC,Indian Penal Code,IPC,351,Assault,1,1,Pooja Hegde,71,Private Employee,Hindu,General,Male,Esha Rao,54,Transgender,0,Ananya Joshi,,Male,A1,,,,,,,,,,,,
PAR,Heinous,Report Beece (B-Report),Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA19224,Hari Sharma,Deputy Superintendent,SHO,1974-11-23,Male,AB Positive,0,2008-06-27,340716704202500005,202500005,2024-07-11,"On 07-07-2024, a case of Money Laundering was reported at Ballari City PS, Ballari district.",2024-07-07T19:00:00,2024-07-07T21:00:00,2024-07-08T13:00:00,15.0777,76.9317,"Incident occurred near coordinates 15.0777, 76.9317 within jurisdiction of Ballari City PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Farhan Kulkarni,69,Private Employee,Hindu,General,Male,Hari Kulkarni,17,Female,0,Rahul Sharma,49,Male,A1,1.0,2024-07-18T23:00:00,Karnataka,Ballari,Ballari City PS,KA19224,Ballari District & Sessions Court,Rahul Sharma,Divya Pai,,,
PAR,Non-Heinous,Report Beece (B-Report),Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA19224,Hari Sharma,Constable,Investigating Officer,1974-04-27,Male,O Positive,1,2012-09-01,340716704202500005,202500005,2024-07-11,"On 07-07-2024, a case of Money Laundering was reported at Ballari City PS, Ballari district.",2024-07-07T19:00:00,2024-07-07T21:00:00,2024-07-08T13:00:00,15.0777,76.9317,"Incident occurred near coordinates 15.0777, 76.9317 within jurisdiction of Ballari City PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,,,,,,,,,,0,Divya Pai,45,Male,A2,,,,,,,,,,,,
PAR,Heinous,Undetected,Karnataka,Bidar,Bidar District & Sessions Court,Police Station,Bidar Town PS,KA45850,Meena Verma,Constable,Circle Inspector,1990-07-28,Male,B Negative,0,2010-08-12,355293438202500006,202500006,2022-03-01,"On 26-02-2022, a case of Drug Offence was reported at Bidar Town PS, Bidar district.",2022-02-26T22:00:00,2022-02-27T01:00:00,2022-02-27T12:00:00,17.889,77.5472,"Incident occurred near coordinates 17.889, 77.5472 within jurisdiction of Bidar Town PS.",Narcotics,Drug Offence,NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,20,Punishment for cannabis-related offences,1,1,Isha Joshi,77,Private Employee,Hindu,General,Male,Rajesh Kulkarni,42,Transgender,0,Kavya Patil,,Male,A1,,,,,,,,,,,,
PAR,Heinous,Undetected,Karnataka,Bidar,Bidar District & Sessions Court,Police Station,Bidar Town PS,KA45850,Meena Verma,Inspector,Circle Inspector,1979-10-08,Male,O Positive,0,2016-12-05,355293438202500006,202500006,2022-03-01,"On 26-02-2022, a case of Drug Offence was reported at Bidar Town PS, Bidar district.",2022-02-26T22:00:00,2022-02-27T01:00:00,2022-02-27T12:00:00,17.889,77.5472,"Incident occurred near coordinates 17.889, 77.5472 within jurisdiction of Bidar Town PS.",Narcotics,Drug Offence,NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,20,Punishment for cannabis-related offences,1,1,,,,,,,,,,0,Manish Singh,56,Male,A2,,,,,,,,,,,,
PAR,Heinous,Under Investigation,Karnataka,Ramanagara,Ramanagara District & Sessions Court,Police Station,Ramanagara Town PS,KA62787,Gautam Shetty,Constable,Investigating Officer,1993-07-05,Female,AB Negative,0,2004-07-21,372099265202200007,202200007,2024-08-25,"On 20-08-2024, a case of Cyber Crime was reported at Ramanagara Town PS, Ramanagara district.",2024-08-20T21:00:00,2024-08-20T23:00:00,2024-08-21T09:00:00,12.7346,77.3219,"Incident occurred near coordinates 12.7346, 77.3219 within jurisdiction of Ramanagara Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Aditi Deshmukh,43,Private Employee,Hindu,General,Male,Gautam Gowda,29,Female,0,Divya Verma,,Transgender,A1,1.0,2024-09-01T23:00:00,Karnataka,Ramanagara,Ramanagara Town PS,KA62787,Ramanagara District & Sessions Court,Divya Verma,,,,
PAR,Non-Heinous,Report Beece (B-Report),Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA54654,Rahul Gowda,Constable,SHO,1976-02-28,Male,O Negative,0,2010-03-15,370602425202400008,202400008,2023-01-17,"On 15-01-2023, a case of Theft was reported at Ballari City PS, Ballari district.",2023-01-15T18:00:00,2023-01-15T22:00:00,2023-01-16T14:00:00,15.0762,76.888,"Incident occurred near coordinates 15.0762, 76.888 within jurisdiction of Ballari City PS.",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Meena Kamath,64,Private Employee,Hindu,General,Transgender,Deepak Deshmukh,54,Female,0,Hari Bhat,,Male,A1,1.0,2023-01-24T02:00:00,Karnataka,Ballari,Ballari City PS,KA54654,Ballari District & Sessions Court,Hari Bhat,,,,
