case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
PAR,Non-Heinous,Under Investigation,Karnataka,Shivamogga,Shivamogga District & Sessions Court,Police Station,Shivamogga Town PS,KA61858,Tanvi Reddy,Head Constable,Circle Inspector,1986-05-17,Male,O Negative,0,2000-03-24,330958095202600001,202600001,2024-09-05,"On 01-09-2024, a case of Robbery was reported at Shivamogga Town PS, Shivamogga district.",2024-09-01T12:00:00,2024-09-01T18:00:00,2024-09-02T05:00:00,13.8729,75.6268,"Incident occurred near coordinates 13.8729, 75.6268 within jurisdiction of Shivamogga Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Suresh Pai,55,Private Employee,Hindu,General,Male,Anil Shetty,34,Transgender,0,Bhavya Verma,18,Female,A1,1.0,2024-09-12T20:00:00,Karnataka,Shivamogga,Shivamogga Town PS,KA61858,Shivamogga District & Sessions Court,Bhavya Verma,Isha Kulkarni,,,
PAR,Non-Heinous,Under Investigation,Karnataka,Shivamogga,Shivamogga District & Sessions Court,Police Station,Shivamogga Town PS,KA61858,Tanvi Reddy,Deputy Superintendent,Circle Inspector,1975-03-28,Female,B Negative,0,2005-06-24,330958095202600001,202600001,2024-09-05,"On 01-09-2024, a case of Robbery was reported at Shivamogga Town PS, Shivamogga district.",2024-09-01T12:00:00,2024-09-01T18:00:00,2024-09-02T05:00:00,13.8729,75.6268,"Incident occurred near coordinates 13.8729, 75.6268 within jurisdiction of Shivamogga Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Isha Kulkarni,,Male,A2,,,,,,,,,,,,
UDR,Heinous,Undetected,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA91190,Hari Deshmukh,Head Constable,Station Writer,1993-05-19,Female,AB Positive,0,2013-07-03,272891645202400002,202400002,2024-08-21,"On 19-08-2024, a case of Murder was reported at Kalaburagi City PS, Kalaburagi district.",2024-08-19T14:00:00,2024-08-19T18:00:00,2024-08-20T14:00:00,17.3301,76.8797,"Incident occurred near coordinates 17.3301, 76.8797 within jurisdiction of Kalaburagi City PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Ananya Das,47,Private Employee,Hindu,General,Female,Sunil Das,70,Male,0,Hari Kamath,,Transgender,A1,,,,,,,,,,,,
UDR,Non-Heinous,Undetected,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA91190,Hari Deshmukh,Head Constable,SHO,1998-12-28,Female,AB Positive,1,2001-09-14,272891645202400002,202400002,2024-08-21,"On 19-08-2024, a case of Murder was reported at Kalaburagi City PS, Kalaburagi district.",2024-08-19T14:00:00,2024-08-19T18:00:00,2024-08-20T14:00:00,17.3301,76.8797,"Incident occurred near coordinates 17.3301, 76.8797 within jurisdiction of Kalaburagi City PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,,,,,,,,,,0,Meena Das,,Transgender,A2,,,,,,,,,,,,
UDR,Heinous,Undetected,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA91190,Hari Deshmukh,Inspector,Station Writer,1988-10-25,Male,A Positive,0,2016-03-11,272891645202400002,202400002,2024-08-21,"On 19-08-2024, a case of Murder was reported at Kalaburagi City PS, Kalaburagi district.",2024-08-19T14:00:00,2024-08-19T18:00:00,2024-08-20T14:00:00,17.3301,76.8797,"Incident occurred near coordinates 17.3301, 76.8797 within jurisdiction of Kalaburagi City PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,,,,,,,,,,0,Tanvi Shenoy,66,Transgender,A3,,,,,,,,,,,,
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Mysuru,Mysuru District & Sessions Court,Police Station,Saraswathipuram PS,KA87701,Suresh Patil,Inspector,Station Writer,1974-08-26,Female,B Positive,0,2011-01-22,316778055202300003,202300003,2022-11-21,"On 19-11-2022, a case of Dark Web Crime was reported at Saraswathipuram PS, Mysuru district.",2022-11-19T10:00:00,2022-11-19T15:00:00,2022-11-20T00:00:00,12.2329,76.7051,"Incident occurred near coordinates 12.2329, 76.7051 within jurisdiction of Saraswathipuram PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Suresh Nair,75,Private Employee,Hindu,General,Male,Ananya Joshi,61,Transgender,0,Esha Nair,22,Female,A1,1.0,2022-11-28T16:00:00,Karnataka,Mysuru,Saraswathipuram PS,KA87701,Mysuru District & Sessions Court,Esha Nair,Suresh Sharma,2023-01-16T16:00:00,B,KA87701
PAR,Heinous,Chargesheet Filed,Karnataka,Mysuru,Mysuru District & Sessions Court,Police Station,Saraswathipuram PS,KA87701,Suresh Patil,Deputy Superintendent,Circle Inspector,1972-05-17,Male,O Positive,0,2019-10-23,316778055202300003,202300003,2022-11-21,"On 19-11-2022, a case of Dark Web Crime was reported at Saraswathipuram PS, Mysuru district.",2022-11-19T10:00:00,2022-11-19T15:00:00,2022-11-20T00:00:00,12.2329,76.7051,"Incident occurred near coordinates 12.2329, 76.7051 within jurisdiction of Saraswathipuram PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,0,Suresh Sharma,,Male,A2,,,,,,,,,,,,
FIR,Non-Heinous,Undetected,Karnataka,Bagalkote,Bagalkote District & Sessions Court,Police Station,Bagalkote Town PS,KA48795,Chirag Hegde,Inspector,Investigating Officer,1987-03-21,Male,B Positive,0,2006-04-27,111678906202300004,202300004,2023-04-19,"On 18-04-2023, a case of Robbery was reported at Bagalkote Town PS, Bagalkote district.",2023-04-18T11:00:00,2023-04-18T14:00:00,2023-04-19T05:00:00,16.2106,75.7453,"Incident occurred near coordinates 16.2106, 75.7453 within jurisdiction of Bagalkote Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Aarav Kulkarni,71,Private Employee,Hindu,General,Male,Isha Das,48,Female,0,Farhan Joshi,24,Male,A1,,,,,,,,,,,,
FIR,Heinous,Chargesheet Filed,Karnataka,Hubballi-Dharwad,Dharwad District & Sessions Court,Police Station,Dharwad Town PS,KA83441,Suresh Patil,Head Constable,Station Writer,1986-04-03,Male,A Negative,1,2019-06-28,124903447202200005,202200005,2025-09-09,"On 06-09-2025, a case of Murder was reported at Dharwad Town PS, Hubballi-Dharwad district.",2025-09-06T16:00:00,2025-09-06T23:00:00,2025-09-07T04:00:00,15.372,75.1428,"Incident occurred near coordinates 15.372, 75.1428 within jurisdiction of Dharwad Town PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Isha Hegde,50,Private Employee,Hindu,General,Female,Bhavya Reddy,20,Male,0,Dev Nair,24,Female,A1,1.0,2025-09-16T02:00:00,Karnataka,Hubballi-Dharwad,Dharwad Town PS,KA83441,Dharwad District & Sessions Court,Dev Nair,Rahul Kumar,2025-10-12T02:00:00,A,KA83441
FIR,Heinous,Chargesheet Filed,Karnataka,Hubballi-Dharwad,Dharwad District & Sessions Court,Police Station,Dharwad Town PS,KA83441,Suresh Patil,Head Constable,Investigating Officer,1979-06-12,Female,B Negative,1,2004-01-24,124903447202200005,202200005,2025-09-09,"On 06-09-2025, a case of Murder was reported at Dharwad Town PS, Hubballi-Dharwad district.",2025-09-06T16:00:00,2025-09-06T23:00:00,2025-09-07T04:00:00,15.372,75.1428,"Incident occurred near coordinates 15.372, 75.1428 within jurisdiction of Dharwad Town PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,,,,,,,,,,0,Rahul Kumar,36,Female,A2,,,,,,,,,,,,
