case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
PAR,Non-Heinous,Undetected,Karnataka,Tumakuru,Tumakuru District & Sessions Court,Police Station,Tumakuru Town PS,KA82486,Kavya Kamath,Head Constable,SHO,1996-11-23,Female,AB Positive,1,2011-05-17,382841506202400001,202400001,2024-11-18,"On 15-11-2024, a case of Grievous Hurt was reported at Tumakuru Town PS, Tumakuru district.",2024-11-15T10:00:00,2024-11-15T18:00:00,2024-11-15T14:00:00,13.3232,77.1219,"Incident occurred near coordinates 13.3232, 77.1219 within jurisdiction of Tumakuru Town PS.",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,325,Punishment for voluntarily causing grievous hurt,1,1,Isha Sharma,45,Private Employee,Hindu,General,Male,Priya Joshi,71,Male,0,Farhan Verma,,Female,A1,,,,,,,,,,,,
PAR,Non-Heinous,Undetected,Karnataka,Tumakuru,Tumakuru District & Sessions Court,Police Station,Tumakuru Town PS,KA82486,Kavya Kamath,Sub-Inspector,Investigating Officer,1984-10-08,Male,B Positive,0,2006-11-14,382841506202400001,202400001,2024-11-18,"On 15-11-2024, a case of Grievous Hurt was reported at Tumakuru Town PS, Tumakuru district.",2024-11-15T10:00:00,2024-11-15T18:00:00,2024-11-15T14:00:00,13.3232,77.1219,"Incident occurred near coordinates 13.3232, 77.1219 within jurisdiction of Tumakuru Town PS.",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,325,Punishment for voluntarily causing grievous hurt,1,1,,,,,,,,,,0,Esha Kulkarni,40,Male,A2,,,,,,,,,,,,
PAR,Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA27418,Abhishek Sharma,Constable,Station Writer,1984-05-04,Male,B Positive,0,2009-11-07,393112737202400002,202400002,2025-10-09,"On 07-10-2025, a case of Dark Web Crime was reported at Davangere Extension PS, Davangere district.",2025-10-07T18:00:00,2025-10-07T23:00:00,2025-10-08T15:00:00,14.4894,75.9294,"Incident occurred near coordinates 14.4894, 75.9294 within jurisdiction of Davangere Extension PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Chirag Rao,28,Private Employee,Hindu,General,Female,Aarav Kamath,53,Male,0,Suresh Das,,Male,A1,1.0,2025-10-16T21:00:00,Karnataka,Davangere,Davangere Extension PS,KA27418,Davangere District & Sessions Court,Suresh Das,Rajesh Kamath,2025-11-21T21:00:00,B,KA27418
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA27418,Abhishek Sharma,Deputy Superintendent,Station Writer,1972-01-20,Male,AB Negative,1,2014-07-17,393112737202400002,202400002,2025-10-09,"On 07-10-2025, a case of Dark Web Crime was reported at Davangere Extension PS, Davangere district.",2025-10-07T18:00:00,2025-10-07T23:00:00,2025-10-08T15:00:00,14.4894,75.9294,"Incident occurred near coordinates 14.4894, 75.9294 within jurisdiction of Davangere Extension PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,0,Rajesh Kamath,30,Male,A2,,,,,,,,,,,,
Zero FIR,Heinous,Report Beece (B-Report),Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA36302,Bhavya Gowda,Deputy Superintendent,Circle Inspector,1981-01-09,Female,B Negative,0,2013-12-14,871194134202500003,202500003,2024-01-16,"On 13-01-2024, a case of Murder was reported at Davangere Extension PS, Davangere district.",2024-01-13T14:00:00,2024-01-13T17:00:00,2024-01-14T01:00:00,14.4674,75.9534,"Incident occurred near coordinates 14.4674, 75.9534 within jurisdiction of Davangere Extension PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Rahul Hegde,75,Private Employee,Hindu,General,Female,Nikhil Rao,33,Transgender,0,Sanjay Das,71,Transgender,A1,1.0,2024-01-23T16:00:00,Karnataka,Davangere,Davangere Extension PS,KA36302,Davangere District & Sessions Court,Sanjay Das,"Suresh Patil,Dev Kumar",,,
Zero FIR,Heinous,Report Beece (B-Report),Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA36302,Bhavya Gowda,Constable,SHO,1991-02-08,Female,B Positive,1,2000-12-08,871194134202500003,202500003,2024-01-16,"On 13-01-2024, a case of Murder was reported at Davangere Extension PS, Davangere district.",2024-01-13T14:00:00,2024-01-13T17:00:00,2024-01-14T01:00:00,14.4674,75.9534,"Incident occurred near coordinates 14.4674, 75.9534 within jurisdiction of Davangere Extension PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,,,,,,,,,,0,Suresh Patil,71,Male,A2,,,,,,,,,,,,
Zero FIR,Heinous,Report Beece (B-Report),Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA36302,Bhavya Gowda,Sub-Inspector,Circle Inspector,1994-06-12,Male,O Negative,0,2007-12-14,871194134202500003,202500003,2024-01-16,"On 13-01-2024, a case of Murder was reported at Davangere Extension PS, Davangere district.",2024-01-13T14:00:00,2024-01-13T17:00:00,2024-01-14T01:00:00,14.4674,75.9534,"Incident occurred near coordinates 14.4674, 75.9534 within jurisdiction of Davangere Extension PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,,,,,,,,,,0,Dev Kumar,,Female,A3,,,,,,,,,,,,
Zero FIR,Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA71323,Kiran Hegde,Deputy Superintendent,Investigating Officer,1986-01-21,Male,AB Positive,0,2014-04-22,851735162202500004,202500004,2025-08-05,"On 01-08-2025, a case of Dark Web Crime was reported at Kalaburagi City PS, Kalaburagi district.",2025-08-01T01:00:00,2025-08-01T08:00:00,2025-08-01T07:00:00,17.3833,76.8327,"Incident occurred near coordinates 17.3833, 76.8327 within jurisdiction of Kalaburagi City PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Divya Joshi,66,Private Employee,Hindu,General,Female,Kiran Gowda,24,Transgender,0,Deepak Das,48,Male,A1,1.0,2025-08-12T13:00:00,Karnataka,Kalaburagi,Kalaburagi City PS,KA71323,Kalaburagi District & Sessions Court,Deepak Das,,2025-09-05T13:00:00,C,KA71323
PAR,Non-Heinous,Undetected,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA63028,Ananya Patil,Inspector,Investigating Officer,1979-05-04,Male,B Negative,0,2001-10-25,385294548202500005,202500005,2023-09-02,"On 28-08-2023, a case of Robbery was reported at Ballari City PS, Ballari district.",2023-08-28T13:00:00,2023-08-28T18:00:00,2023-08-29T06:00:00,15.1615,76.8432,"Incident occurred near coordinates 15.1615, 76.8432 within jurisdiction of Ballari City PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Dev Das,57,Private Employee,Hindu,General,Transgender,Esha Nair,15,Female,0,Isha Kulkarni,18,Transgender,A1,,,,,,,,,,,,
PAR,Heinous,Undetected,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA63028,Ananya Patil,Constable,Investigating Officer,1972-02-09,Male,AB Positive,1,2015-11-28,385294548202500005,202500005,2023-09-02,"On 28-08-2023, a case of Robbery was reported at Ballari City PS, Ballari district.",2023-08-28T13:00:00,2023-08-28T18:00:00,2023-08-29T06:00:00,15.1615,76.8432,"Incident occurred near coordinates 15.1615, 76.8432 within jurisdiction of Ballari City PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Esha Reddy,68,Transgender,A2,,,,,,,,,,,,
UDR,Heinous,Under Investigation,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA38235,Suresh Pai,Head Constable,Circle Inspector,1998-08-22,Male,A Negative,1,2001-05-05,293016768202400006,202400006,2023-05-27,"On 24-05-2023, a case of Grievous Hurt was reported at Udupi Town PS, Udupi district.",2023-05-24T17:00:00,2023-05-24T20:00:00,2023-05-25T01:00:00,13.3264,74.6785,"Incident occurred near coordinates 13.3264, 74.6785 within jurisdiction of Udupi Town PS.",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,325,Punishment for voluntarily causing grievous hurt,1,1,Deepak Verma,75,Private Employee,Hindu,General,Male,Anil Kulkarni,42,Female,0,Isha Reddy,62,Transgender,A1,1.0,2023-06-03T05:00:00,Karnataka,Udupi,Udupi Town PS,KA38235,Udupi District & Sessions Court,Isha Reddy,,,,
PAR,Heinous,Chargesheet Filed,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA85723,Gautam Kumar,Head Constable,Investigating Officer,1971-08-12,Female,A Negative,0,2020-05-08,337895798202400007,202400007,2025-09-24,"On 23-09-2025, a case of Burglary was reported at Hassan Town PS, Hassan district.",2025-09-23T05:00:00,2025-09-23T08:00:00,2025-09-23T09:00:00,13.0246,76.1392,"Incident occurred near coordinates 13.0246, 76.1392 within jurisdiction of Hassan Town PS.",Property Crimes,Burglary,IPC,Indian Penal Code,IPC,457,Lurking house-trespass or house-breaking by night,1,1,Vikram Pai,76,Private Employee,Hindu,General,Transgender,Gautam Singh,17,Female,0,Farhan Sharma,,Male,A1,1.0,2025-10-01T06:00:00,Karnataka,Hassan,Hassan Town PS,KA85723,Hassan District & Sessions Court,Farhan Sharma,Sanjay Verma,2025-11-12T06:00:00,C,KA85723
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA85723,Gautam Kumar,Constable,Station Writer,1997-02-12,Female,A Positive,0,2020-09-16,337895798202400007,202400007,2025-09-24,"On 23-09-2025, a case of Burglary was reported at Hassan Town PS, Hassan district.",2025-09-23T05:00:00,2025-09-23T08:00:00,2025-09-23T09:00:00,13.0246,76.1392,"Incident occurred near coordinates 13.0246, 76.1392 within jurisdiction of Hassan Town PS.",Property Crimes,Burglary,IPC,Indian Penal Code,IPC,457,Lurking house-trespass or house-breaking by night,1,1,,,,,,,,,,0,Sanjay Verma,66,Male,A2,,,,,,,,,,,,
UDR,Heinous,Report Beece (B-Report),Karnataka,Mangaluru,Dakshina Kannada District & Sessions Court,Police Station,Mangaluru Town PS,KA78434,Tanvi Patil,Inspector,SHO,1976-07-23,Male,A Negative,0,2009-02-09,282085448202400008,202400008,2022-11-13,"On 08-11-2022, a case of Cyber Crime was reported at Mangaluru Town PS, Mangaluru district.",2022-11-08T03:00:00,2022-11-08T08:00:00,2022-11-08T20:00:00,12.8773,74.7911,"Incident occurred near coordinates 12.8773, 74.7911 within jurisdiction of Mangaluru Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Abhishek Sharma,37,Private Employee,Hindu,General,Transgender,Rajesh Deshmukh,19,Male,0,Suresh Hegde,30,Male,A1,1.0,2022-11-20T06:00:00,Karnataka,Mangaluru,Mangaluru Town PS,KA78434,Dakshina Kannada District & Sessions Court,Suresh Hegde,,,,
PAR,Heinous,Report Beece (B-Report),Karnataka,Mandya,Mandya District & Sessions Court,Police Station,Mandya Town PS,KA11393,Rajesh Bhat,Deputy Superintendent,SHO,1971-04-02,Female,AB Negative,0,2017-09-06,393714114202600009,202600009,2024-09-27,"On 26-09-2024, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district.",2024-09-26T17:00:00,2024-09-26T23:00:00,2024-09-26T19:00:00,12.5121,76.8271,"Incident occurred near coordinates 12.5121, 76.8271 within jurisdiction of Mandya Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Gautam Patil,70,Private Employee,Hindu,General,Female,Priya Joshi,61,Transgender,0,Vikram Joshi,,Female,A1,1.0,2024-10-04T23:00:00,Karnataka,Mandya,Mandya Town PS,KA11393,Mandya District & Sessions Court,Vikram Joshi,"Abhishek Shenoy,Suresh Verma",,,
PAR,Non-Heinous,Report Beece (B-Report),Karnataka,Mandya,Mandya District & Sessions Court,Police Station,Mandya Town PS,KA11393,Rajesh Bhat,Constable,Station Writer,1992-07-13,Male,O Positive,0,2008-01-09,393714114202600009,202600009,2024-09-27,"On 26-09-2024, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district.",2024-09-26T17:00:00,2024-09-26T23:00:00,2024-09-26T19:00:00,12.5121,76.8271,"Incident occurred near coordinates 12.5121, 76.8271 within jurisdiction of Mandya Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,0,Abhishek Shenoy,25,Transgender,A2,,,,,,,,,,,,
