case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
Zero FIR,Heinous,Undetected,Karnataka,Bengaluru Urban,"Principal City Civil & Sessions Court, Bengaluru",Police Station,Bengaluru City PS,KA50868,Manish Nair,Inspector,Investigating Officer,1977-07-07,Female,O Negative,1,2000-09-02,815109991202600001,202600001,2025-03-31,"On 29-03-2025, a case of Cyber Crime was reported at Bengaluru City PS, Bengaluru Urban district.",2025-03-29T08:00:00,2025-03-29T10:00:00,2025-03-30T08:00:00,12.9,77.553,"Incident occurred near coordinates 12.9, 77.553 within jurisdiction of Bengaluru City PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Divya Kumar,42,Private Employee,Hindu,General,Female,Manish Shetty,44,Female,0,Suresh Rao,42,Male,A1,,,,,,,,,,,,
Zero FIR,Non-Heinous,Undetected,Karnataka,Bengaluru Urban,"Principal City Civil & Sessions Court, Bengaluru",Police Station,Bengaluru City PS,KA50868,Manish Nair,Inspector,Circle Inspector,1971-09-17,Female,A Negative,0,2010-08-23,815109991202600001,202600001,2025-03-31,"On 29-03-2025, a case of Cyber Crime was reported at Bengaluru City PS, Bengaluru Urban district.",2025-03-29T08:00:00,2025-03-29T10:00:00,2025-03-30T08:00:00,12.9,77.553,"Incident occurred near coordinates 12.9, 77.553 within jurisdiction of Bengaluru City PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,,,,,,,,,,0,Priya Sharma,39,Female,A2,,,,,,,,,,,,
UDR,Non-Heinous,Undetected,Karnataka,Bagalkote,Bagalkote District & Sessions Court,Police Station,Bagalkote Town PS,KA19522,Aditi Nair,Deputy Superintendent,Circle Inspector,1970-10-04,Male,A Negative,0,2017-05-08,231294373202400002,202400002,2024-09-18,"On 16-09-2024, a case of Robbery was reported at Bagalkote Town PS, Bagalkote district.",2024-09-16T11:00:00,2024-09-16T16:00:00,2024-09-16T14:00:00,16.1213,75.6172,"Incident occurred near coordinates 16.1213, 75.6172 within jurisdiction of Bagalkote Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Ananya Kamath,56,Private Employee,Hindu,General,Female,Abhishek Singh,53,Male,0,Rajesh Das,,Male,A1,,,,,,,,,,,,
PAR,Non-Heinous,Undetected,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA43226,Farhan Nair,Head Constable,Station Writer,1990-01-11,Male,O Positive,0,2005-08-28,367479251202300003,202300003,2023-08-14,"On 11-08-2023, a case of Robbery was reported at Kolar Town PS, Kolar district.",2023-08-11T00:00:00,2023-08-11T06:00:00,2023-08-11T14:00:00,13.1702,78.0989,"Incident occurred near coordinates 13.1702, 78.0989 within jurisdiction of Kolar Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Chirag Patil,58,Private Employee,Hindu,General,Transgender,Bhavya Nair,68,Female,0,Esha Pai,,Transgender,A1,,,,,,,,,,,,
PAR,Non-Heinous,Undetected,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA43226,Farhan Nair,Sub-Inspector,Station Writer,1971-12-09,Male,B Negative,0,2005-08-09,367479251202300003,202300003,2023-08-14,"On 11-08-2023, a case of Robbery was reported at Kolar Town PS, Kolar district.",2023-08-11T00:00:00,2023-08-11T06:00:00,2023-08-11T14:00:00,13.1702,78.0989,"Incident occurred near coordinates 13.1702, 78.0989 within jurisdiction of Kolar Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Manish Nair,,Male,A2,,,,,,,,,,,,
Zero FIR,Heinous,Report Beece (B-Report),Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA21356,Dev Sharma,Inspector,Circle Inspector,1991-04-28,Female,O Negative,0,2003-05-06,859675437202300004,202300004,2022-11-26,"On 23-11-2022, a case of Theft was reported at Hassan Town PS, Hassan district.",2022-11-23T22:00:00,2022-11-24T04:00:00,2022-11-24T17:00:00,12.9536,76.1775,"Incident occurred near coordinates 12.9536, 76.1775 within jurisdiction of Hassan Town PS.",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Dev Kumar,60,Private Employee,Hindu,General,Transgender,Bhavya Bhat,6,Transgender,0,Vikram Verma,66,Female,A1,1.0,2022-12-03T07:00:00,Karnataka,Hassan,Hassan Town PS,KA21356,Hassan District & Sessions Court,Vikram Verma,,,,
FIR,Non-Heinous,Report Beece (B-Report),Karnataka,Ramanagara,Ramanagara District & Sessions Court,Police Station,Ramanagara Town PS,KA75125,Pooja Hegde,Constable,Investigating Officer,1990-05-10,Male,B Negative,0,2019-05-22,122423422202600005,202600005,2022-03-12,"On 09-03-2022, a case of Theft was reported at Ramanagara Town PS, Ramanagara district.",2022-03-09T07:00:00,2022-03-09T15:00:00,2022-03-10T04:00:00,12.6899,77.2227,"Incident occurred near coordinates 12.6899, 77.2227 within jurisdiction of Ramanagara Town PS.",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Meena Deshmukh,49,Private Employee,Hindu,General,Transgender,Kiran Pai,14,Transgender,0,Isha Naik,43,Male,A1,1.0,2022-03-19T11:00:00,Karnataka,Ramanagara,Ramanagara Town PS,KA75125,Ramanagara District & Sessions Court,Isha Naik,,,,
UDR,Non-Heinous,Chargesheet Filed,Karnataka,Chikkamagaluru,Chikkamagaluru District & Sessions Court,Police Station,Chikkamagaluru PS,KA93267,Chirag Pai,Inspector,Investigating Officer,1985-12-03,Female,AB Positive,1,2014-08-21,215607076202300006,202300006,2025-05-08,"On 04-05-2025, a case of Murder was reported at Chikkamagaluru PS, Chikkamagaluru district.",2025-05-04T14:00:00,2025-05-04T17:00:00,2025-05-05T06:00:00,13.364,75.7154,"Incident occurred near coordinates 13.364, 75.7154 within jurisdiction of Chikkamagaluru PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Abhishek Kulkarni,34,Private Employee,Hindu,General,Transgender,Manish Nair,49,Female,0,Hari Sharma,67,Transgender,A1,1.0,2025-05-15T18:00:00,Karnataka,Chikkamagaluru,Chikkamagaluru PS,KA93267,Chikkamagaluru District & Sessions Court,Hari Sharma,,2025-05-24T18:00:00,B,KA93267
Zero FIR,Non-Heinous,Chargesheet Filed,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA78755,Rahul Pai,Constable,SHO,1990-05-28,Female,AB Positive,0,2001-04-25,827237950202300007,202300007,2022-06-23,"On 18-06-2022, a case of Money Laundering was reported at Udupi Town PS, Udupi district.",2022-06-18T01:00:00,2022-06-18T09:00:00,2022-06-18T12:00:00,13.3453,74.8117,"Incident occurred near coordinates 13.3453, 74.8117 within jurisdiction of Udupi Town PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Kiran Joshi,47,Private Employee,Hindu,General,Transgender,Ananya Bhat,69,Male,0,Aarav Kumar,48,Male,A1,1.0,2022-06-30T03:00:00,Karnataka,Udupi,Udupi Town PS,KA78755,Udupi District & Sessions Court,Aarav Kumar,,2022-08-15T03:00:00,B,KA78755
UDR,Heinous,Report Beece (B-Report),Karnataka,Bidar,Bidar District & Sessions Court,Police Station,Bidar Town PS,KA80948,Priya Das,Deputy Superintendent,Circle Inspector,1986-11-21,Male,B Positive,0,2018-08-18,253854411202400008,202400008,2024-11-07,"On 02-11-2024, a case of Cyber Crime was reported at Bidar Town PS, Bidar district.",2024-11-02T22:00:00,2024-11-03T03:00:00,2024-11-03T01:00:00,17.9012,77.5069,"Incident occurred near coordinates 17.9012, 77.5069 within jurisdiction of Bidar Town PS.",Cyber Crime,Cyber Crime,ITA,"Information Technology Act, 2000",IT Act,66C,Identity theft using computer resource,1,1,Aarav Patil,44,Private Employee,Hindu,General,Male,Rahul Shenoy,25,Female,0,Kiran Nair,22,Transgender,A1,1.0,2024-11-14T08:00:00,Karnataka,Bidar,Bidar Town PS,KA80948,Bidar District & Sessions Court,Kiran Nair,,,,
