case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
UDR,Non-Heinous,Under Investigation,Karnataka,Mysuru,Mysuru District & Sessions Court,Police Station,Saraswathipuram PS,KA63754,Ananya Shetty,Deputy Superintendent,SHO,1996-06-25,Female,A Positive,1,2013-05-05,284479513202400001,202400001,2025-04-03,"On 02-04-2025, a case of Burglary was reported at Saraswathipuram PS, Mysuru district.",2025-04-02T00:00:00,2025-04-02T05:00:00,2025-04-02T22:00:00,12.2571,76.7042,"Incident occurred near coordinates 12.2571, 76.7042 within jurisdiction of Saraswathipuram PS.",Property Crimes,Burglary,IPC,Indian Penal Code,IPC,457,Lurking house-trespass or house-breaking by night,1,1,Esha Gowda,79,Private Employee,Hindu,General,Male,Kavya Kulkarni,44,Male,0,Nikhil Shetty,,Male,A1,1.0,2025-04-10T09:00:00,Karnataka,Mysuru,Saraswathipuram PS,KA63754,Mysuru District & Sessions Court,Nikhil Shetty,,,,
PAR,Heinous,Chargesheet Filed,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA76672,Aarav Shenoy,Head Constable,SHO,1989-09-21,Male,AB Negative,0,2018-01-10,359247271202200002,202200002,2025-04-23,"On 19-04-2025, a case of Dark Web Crime was reported at Hassan Town PS, Hassan district.",2025-04-19T20:00:00,2025-04-19T22:00:00,2025-04-20T13:00:00,12.9483,76.0685,"Incident occurred near coordinates 12.9483, 76.0685 within jurisdiction of Hassan Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Deepak Kulkarni,72,Private Employee,Hindu,General,Transgender,Rahul Verma,38,Male,0,Pooja Das,,Male,A1,1.0,2025-04-30T23:00:00,Karnataka,Hassan,Hassan Town PS,KA76672,Hassan District & Sessions Court,Pooja Das,"Aarav Deshmukh,Bhavya Pai",2025-06-19T23:00:00,B,KA76672
PAR,Non-Heinous,Chargesheet Filed,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA76672,Aarav Shenoy,Deputy Superintendent,SHO,1978-09-12,Female,O Negative,0,2013-12-21,359247271202200002,202200002,2025-04-23,"On 19-04-2025, a case of Dark Web Crime was reported at Hassan Town PS, Hassan district.",2025-04-19T20:00:00,2025-04-19T22:00:00,2025-04-20T13:00:00,12.9483,76.0685,"Incident occurred near coordinates 12.9483, 76.0685 within jurisdiction of Hassan Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,0,Aarav Deshmukh,,Female,A2,,,,,,,,,,,,
PAR,Heinous,Chargesheet Filed,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA76672,Aarav Shenoy,Inspector,SHO,1971-07-05,Male,AB Positive,1,2015-06-26,359247271202200002,202200002,2025-04-23,"On 19-04-2025, a case of Dark Web Crime was reported at Hassan Town PS, Hassan district.",2025-04-19T20:00:00,2025-04-19T22:00:00,2025-04-20T13:00:00,12.9483,76.0685,"Incident occurred near coordinates 12.9483, 76.0685 within jurisdiction of Hassan Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,0,Bhavya Pai,,Female,A3,,,,,,,,,,,,
FIR,Non-Heinous,Undetected,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA96070,Aditi Bhat,Sub-Inspector,Station Writer,1971-05-13,Female,O Positive,0,2005-04-11,175865861202300003,202300003,2024-12-07,"On 02-12-2024, a case of Cheating was reported at Udupi Town PS, Udupi district.",2024-12-02T09:00:00,2024-12-02T10:00:00,2024-12-02T17:00:00,13.3027,74.75,"Incident occurred near coordinates 13.3027, 74.75 within jurisdiction of Udupi Town PS.",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,420,Cheating and dishonestly inducing delivery of property,1,1,Gautam Shenoy,58,Private Employee,Hindu,General,Female,Kiran Pai,33,Female,0,Nikhil Verma,,Female,A1,,,,,,,,,,,,
FIR,Non-Heinous,Undetected,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA96070,Aditi Bhat,Head Constable,Investigating Officer,1995-08-25,Female,AB Positive,1,2005-10-17,175865861202300003,202300003,2024-12-07,"On 02-12-2024, a case of Cheating was reported at Udupi Town PS, Udupi district.",2024-12-02T09:00:00,2024-12-02T10:00:00,2024-12-02T17:00:00,13.3027,74.75,"Incident occurred near coordinates 13.3027, 74.75 within jurisdiction of Udupi Town PS.",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,420,Cheating and dishonestly inducing delivery of property,1,1,,,,,,,,,,0,Hari Kumar,,Female,A2,,,,,,,,,,,,
FIR,Heinous,Undetected,Karnataka,Udupi,Udupi District & Sessions Court,Police Station,Udupi Town PS,KA96070,Aditi Bhat,Sub-Inspector,Circle Inspector,1977-05-24,Male,AB Positive,0,2010-10-02,175865861202300003,202300003,2024-12-07,"On 02-12-2024, a case of Cheating was reported at Udupi Town PS, Udupi district.",2024-12-02T09:00:00,2024-12-02T10:00:00,2024-12-02T17:00:00,13.3027,74.75,"Incident occurred near coordinates 13.3027, 74.75 within jurisdiction of Udupi Town PS.",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,420,Cheating and dishonestly inducing delivery of property,1,1,,,,,,,,,,0,Sanjay Rao,28,Male,A3,,,,,,,,,,,,
PAR,Non-Heinous,Report Beece (B-Report),Karnataka,Bidar,Bidar District & Sessions Court,Police Station,Bidar Town PS,KA59561,Farhan Pai,Head Constable,Circle Inspector,1994-08-23,Male,O Positive,0,2013-10-11,350712684202300004,202300004,2024-08-26,"On 24-08-2024, a case of Theft was reported at Bidar Town PS, Bidar district.",2024-08-24T09:00:00,2024-08-24T10:00:00,2024-08-25T00:00:00,17.8561,77.513,"Incident occurred near coordinates 17.8561, 77.513 within jurisdiction of Bidar Town PS.",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Anil Kulkarni,40,Private Employee,Hindu,General,Transgender,Tanvi Verma,44,Male,0,Suresh Bhat,34,Transgender,A1,1.0,2024-09-02T18:00:00,Karnataka,Bidar,Bidar Town PS,KA59561,Bidar District & Sessions Court,Suresh Bhat,,,,
Zero FIR,Non-Heinous,Under Investigation,Karnataka,Mangaluru,Dakshina Kannada District & Sessions Court,Police Station,Mangaluru Town PS,KA87275,Siddharth Singh,Sub-Inspector,SHO,1982-01-06,Female,O Positive,0,2011-08-17,834603979202400005,202400005,2024-01-25,"On 24-01-2024, a case of Drug Offence was reported at Mangaluru Town PS, Mangaluru district.",2024-01-24T14:00:00,2024-01-24T16:00:00,2024-01-25T02:00:00,12.9145,74.8168,"Incident occurred near coordinates 12.9145, 74.8168 within jurisdiction of Mangaluru Town PS.",Narcotics,Drug Offence,NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,20,Punishment for cannabis-related offences,1,1,Divya Shetty,54,Private Employee,Hindu,General,Female,Suresh Das,29,Female,0,Farhan Hegde,,Transgender,A1,1.0,2024-02-01T18:00:00,Karnataka,Mangaluru,Mangaluru Town PS,KA87275,Dakshina Kannada District & Sessions Court,Farhan Hegde,,,,
PAR,Non-Heinous,Undetected,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA71126,Chirag Verma,Head Constable,Investigating Officer,1972-05-26,Female,A Positive,0,2002-02-21,355223793202300006,202300006,2022-09-23,"On 19-09-2022, a case of Assault was reported at Ballari City PS, Ballari district.",2022-09-19T08:00:00,2022-09-19T11:00:00,2022-09-20T06:00:00,15.1776,76.9638,"Incident occurred near coordinates 15.1776, 76.9638 within jurisdiction of Ballari City PS.",Crimes Against Body,Assault,IPC,Indian Penal Code,IPC,351,Assault,1,1,Chirag Rao,47,Private Employee,Hindu,General,Transgender,Siddharth Pai,32,Female,0,Dev Reddy,24,Transgender,A1,,,,,,,,,,,,
UDR,Non-Heinous,Undetected,Karnataka,Chikkamagaluru,Chikkamagaluru District & Sessions Court,Police Station,Chikkamagaluru PS,KA87353,Suresh Das,Head Constable,SHO,1977-11-21,Female,O Negative,0,2015-10-04,228459574202500007,202500007,2022-06-22,"On 18-06-2022, a case of Murder was reported at Chikkamagaluru PS, Chikkamagaluru district.",2022-06-18T17:00:00,2022-06-18T20:00:00,2022-06-19T09:00:00,13.3754,75.7669,"Incident occurred near coordinates 13.3754, 75.7669 within jurisdiction of Chikkamagaluru PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Nikhil Hegde,34,Private Employee,Hindu,General,Female,Bhavya Reddy,71,Female,0,Aditi Kulkarni,,Male,A1,,,,,,,,,,,,
FIR,Non-Heinous,Report Beece (B-Report),Karnataka,Mysuru,Mysuru District & Sessions Court,Police Station,Saraswathipuram PS,KA15919,Aditi Kulkarni,Inspector,Circle Inspector,1993-08-19,Female,A Positive,0,2007-04-10,128934056202200008,202200008,2024-01-09,"On 08-01-2024, a case of Money Laundering was reported at Saraswathipuram PS, Mysuru district.",2024-01-08T07:00:00,2024-01-08T14:00:00,2024-01-08T12:00:00,12.2675,76.5651,"Incident occurred near coordinates 12.2675, 76.5651 within jurisdiction of Saraswathipuram PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Farhan Shetty,64,Private Employee,Hindu,General,Transgender,Dev Kamath,59,Male,0,Anil Bhat,65,Transgender,A1,1.0,2024-01-16T11:00:00,Karnataka,Mysuru,Saraswathipuram PS,KA15919,Mysuru District & Sessions Court,Anil Bhat,,,,
