case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid,CaseMasterID,DistrictID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CrimeRegisteredDate,age_years,gender_id,hour_of_day,day_of_week,month,is_weekend,is_night_time,co_offender_count,hist_station_crime_count_30d,hist_district_crime_count_30d,spatial_density_ratio,risk_tier_id,hotspot_flag_id,recidivism_flag_id
FIR,Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA86306,Pradeep Joshi,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/12/187/2025/0001,CC/2025/050001,2025-10-16,Housebreaking by night reported. Electronic goods and valuables stolen while occupants were away.,2025-10-15T20:30:04,2025-10-15T20:30:04,2025-10-16T12:30:04,14.528,75.8696,"Incident near coordinates 14.528, 75.8696",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Suresh Shetty,40,Private Employee,Hindu,General,Male,Sowmya Deshmukh,54,Female,0,Divya Rao,43,Female,A1,1.0,2025-10-16T12:30:04,Karnataka,Davangere,Davangere Extension PS,KA23560,Davangere District & Sessions Court,Divya Rao,,2025-10-16T12:30:04,C,KA56547,50001,12,187,1,2,2,6,1,2025-10-16 12:30:04,43,2,20,3,10,0,0,2,570,2093,4.15,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA63951,Abhishek Nayak,Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/07/104/2025/0002,CC/2025/050002,2025-09-23,Cyber fraud complaint regarding unauthorized digital transaction via fake banking link.,2025-09-23T10:48:59,2025-09-23T10:48:59,2025-09-23T15:48:59,17.3568,76.8923,"Incident near coordinates 17.3568, 76.8923",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Ramesh Kambale,38,Private Employee,Hindu,General,Male,Raghavendra Kuruba,45,Female,0,Anand Bhat,21,Male,A2,1.0,2025-09-23T15:48:59,Karnataka,Kalaburagi,Kalaburagi City PS,KA64662,Kalaburagi District & Sessions Court,Anand Bhat,,2025-09-23T15:48:59,C,KA59630,50002,7,104,3,1,1,1,1,2025-09-23 15:48:59,21,1,10,2,9,0,0,2,621,2864,1.82,2,1,0
FIR,Heinous,Chargesheet Filed,Karnataka,Belagavi,Belagavi District & Sessions Court,Police Station,Belagavi City PS,KA69871,Vijay Joshi,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/06/097/2025/0003,CC/2025/050003,2025-11-13,Complainant reported theft of motor vehicle parked in front of residence during night hours.,2025-11-13T02:43:58,2025-11-13T02:43:58,2025-11-13T03:43:58,15.8522,74.6483,"Incident near coordinates 15.8522, 74.6483",Financial Crime,Money Laundering,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Mahesh Nayak,50,Private Employee,Hindu,General,Male,Sunitha Bhat,49,Female,0,Manjunath Kulkarni,54,Male,A3,1.0,2025-11-13T03:43:58,Karnataka,Belagavi,Belagavi City PS,KA36206,Belagavi District & Sessions Court,Manjunath Kulkarni,,2025-11-13T03:43:58,C,KA84810,50003,6,97,1,2,4,14,1,2025-11-13 03:43:58,54,1,2,4,11,0,1,1,229,1264,2.66,4,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Shivamogga,Shivamogga District & Sessions Court,Police Station,Shivamogga Town PS,KA77532,Nagaraj Bhat,Head Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/11/174/2025/0004,CC/2025/050004,2025-04-24,Housebreaking by night reported. Electronic goods and valuables stolen while occupants were away.,2025-04-22T17:10:31,2025-04-22T17:10:31,2025-04-24T14:10:31,13.991,75.5296,"Incident near coordinates 13.991, 75.5296",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Aswini Deshmukh,48,Private Employee,Hindu,General,Male,Geetha Gowda,58,Female,0,Darshan Kuruba,45,Male,A4,1.0,2025-04-24T14:10:31,Karnataka,Shivamogga,Shivamogga Town PS,KA24436,Shivamogga District & Sessions Court,Darshan Kuruba,,2025-04-24T14:10:31,C,KA72130,50004,11,174,1,1,2,6,1,2025-04-24 14:10:31,45,1,17,2,4,0,0,2,930,450,3.86,1,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Belagavi,Belagavi District & Sessions Court,Police Station,Belagavi City PS,KA96387,Nagaraj Naik,Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/06/097/2025/0005,CC/2025/050005,2025-08-05,Complainant reported theft of motor vehicle parked in front of residence during night hours.,2025-08-04T00:46:30,2025-08-04T00:46:30,2025-08-05T14:46:30,15.8649,74.4785,"Incident near coordinates 15.8649, 74.4785",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Sudha Nayak,48,Private Employee,Hindu,General,Male,Satish Rao,23,Female,0,Ramesh Bhat,18,Male,A5,1.0,2025-08-05T14:46:30,Karnataka,Belagavi,Belagavi City PS,KA38370,Belagavi District & Sessions Court,Ramesh Bhat,,2025-08-05T14:46:30,C,KA64866,50005,6,97,2,1,2,6,1,2025-08-05 14:46:30,18,1,0,1,8,0,1,1,571,2813,1.4,1,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA64959,Manjunath Rao,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/12/176/2025/0006,CC/2025/050006,2025-12-20,Burglary incident reported at commercial establishment. Locked doors broken open and cash stolen.,2025-12-19T00:11:45,2025-12-19T00:11:45,2025-12-20T12:11:45,14.4026,75.9023,"Incident near coordinates 14.4026, 75.9023",Cyber Crime,Dark Web Crime,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Ramesh Hegde,65,Private Employee,Hindu,General,Male,Basavaraj Shetty,44,Female,0,Shivakumar Patil,20,Male,A6,1.0,2025-12-20T12:11:45,Karnataka,Davangere,Davangere Extension PS,KA57715,Davangere District & Sessions Court,Shivakumar Patil,,2025-12-20T12:11:45,C,KA13597,50006,12,176,3,1,3,12,1,2025-12-20 12:11:45,20,1,0,5,12,0,1,1,687,2854,4.3,1,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA96287,Anand Naik,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/12/179/2025/0007,CC/2025/050007,2025-09-11,Complainant reported theft of motor vehicle parked in front of residence during night hours.,2025-09-10T19:24:59,2025-09-10T19:24:59,2025-09-11T02:24:59,14.5372,75.8758,"Incident near coordinates 14.5372, 75.8758",Cyber Crime,Cryptocurrency Crime,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Prakash Rao,47,Private Employee,Hindu,General,Male,Darshan Reddy,22,Female,0,Pradeep Joshi,50,Male,A7,1.0,2025-09-11T02:24:59,Karnataka,Davangere,Davangere Extension PS,KA99761,Davangere District & Sessions Court,Pradeep Joshi,,2025-09-11T02:24:59,C,KA74084,50007,12,179,1,1,3,13,1,2025-09-11 02:24:59,50,1,19,3,9,0,0,1,440,602,2.78,1,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA16052,Kumar Hegde,Head Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/07/113/2025/0008,CC/2025/050008,2025-03-01,Cyber fraud complaint regarding unauthorized digital transaction via fake banking link.,2025-02-28T15:39:18,2025-02-28T15:39:18,2025-03-01T11:39:18,17.3886,76.8177,"Incident near coordinates 17.3886, 76.8177",Cyber Crime,Cyber Crime,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Basavaraj Pujari,53,Private Employee,Hindu,General,Male,Aswini Rao,57,Female,0,Satish Gowda,49,Male,A8,1.0,2025-03-01T11:39:18,Karnataka,Kalaburagi,Kalaburagi City PS,KA39520,Kalaburagi District & Sessions Court,Satish Gowda,,2025-03-01T11:39:18,C,KA39168,50008,7,113,1,1,3,11,1,2025-03-01 11:39:18,49,1,15,5,2,0,0,1,544,1357,3.36,2,1,0
FIR,Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA30315,Satish Pujari,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/12/182/2025/0009,CC/2025/050009,2025-04-21,Accused unlawfully intercepted complainant near main road intersection and committed extortion and assault.,2025-04-20T20:09:49,2025-04-20T20:09:49,2025-04-21T10:09:49,14.4565,75.9174,"Incident near coordinates 14.4565, 75.9174",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Prakash Patil,48,Private Employee,Hindu,General,Male,Ramesh Shetty,60,Female,0,Mahesh Patil,33,Male,A9,1.0,2025-04-21T10:09:49,Karnataka,Davangere,Davangere Extension PS,KA85456,Davangere District & Sessions Court,Mahesh Patil,,2025-04-21T10:09:49,C,KA34271,50009,12,182,2,2,2,6,1,2025-04-21 10:09:49,33,1,20,7,4,1,0,3,360,896,2.41,3,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA83745,Abhishek Deshmukh,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/118/2025/0010,CC/2025/050010,2025-01-24,Accused unlawfully intercepted complainant near main road intersection and committed extortion and assault.,2025-01-24T11:18:21,2025-01-24T11:18:21,2025-01-24T18:18:21,15.1911,76.9826,"Incident near coordinates 15.1911, 76.9826",Cyber Crime,Cyber Crime,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Prakash Kulkarni,62,Private Employee,Hindu,General,Male,Manjunath Kambale,51,Female,0,Kiran Hegde,66,Male,A10,1.0,2025-01-24T18:18:21,Karnataka,Ballari,Ballari City PS,KA47282,Ballari District & Sessions Court,Kiran Hegde,,2025-01-24T18:18:21,C,KA61033,50010,8,118,3,1,3,11,1,2025-01-24 18:18:21,66,1,11,5,1,0,0,1,51,2752,1.17,1,0,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA84857,Kiran Puri,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/129/2025/0011,CC/2025/050011,2025-03-17,Snatching of gold chain from pedestrian by bike-borne suspects during evening hours.,2025-03-16T02:08:53,2025-03-16T02:08:53,2025-03-17T16:08:53,15.2093,76.9796,"Incident near coordinates 15.2093, 76.9796",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Roopa Shetty,49,Private Employee,Hindu,General,Male,Shivakumar Naik,33,Female,0,Raghavendra Patil,63,Male,A11,1.0,2025-03-17T16:08:53,Karnataka,Ballari,Ballari City PS,KA21715,Ballari District & Sessions Court,Raghavendra Patil,,2025-03-17T16:08:53,C,KA84616,50011,8,129,1,1,2,8,1,2025-03-17 16:08:53,63,1,2,7,3,1,1,3,244,2734,3.93,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA28336,Kumar Kulkarni,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/127/2025/0012,CC/2025/050012,2025-04-21,Cyber fraud complaint regarding unauthorized digital transaction via fake banking link.,2025-04-21T13:05:06,2025-04-21T13:05:06,2025-04-21T15:05:06,15.1721,76.8605,"Incident near coordinates 15.1721, 76.8605",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Pradeep Bhat,39,Private Employee,Hindu,General,Male,Darshan Chavhan,34,Female,0,Shivakumar Joshi,27,Male,A12,1.0,2025-04-21T15:05:06,Karnataka,Ballari,Ballari City PS,KA15128,Ballari District & Sessions Court,Shivakumar Joshi,,2025-04-21T15:05:06,C,KA98709,50012,8,127,1,1,1,1,1,2025-04-21 15:05:06,27,1,13,1,4,0,0,1,536,3243,1.5,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA50724,Abhishek Kulkarni,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/07/114/2025/0013,CC/2025/050013,2025-06-16,Snatching of gold chain from pedestrian by bike-borne suspects during evening hours.,2025-06-15T20:07:53,2025-06-15T20:07:53,2025-06-16T01:07:53,17.3316,76.7952,"Incident near coordinates 17.3316, 76.7952",Cyber Crime,Cryptocurrency Crime,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Abhishek Chavhan,34,Private Employee,Hindu,General,Male,Basavaraj Bhat,29,Female,0,Abhishek Reddy,48,Male,A13,1.0,2025-06-16T01:07:53,Karnataka,Kalaburagi,Kalaburagi City PS,KA36960,Kalaburagi District & Sessions Court,Abhishek Reddy,,2025-06-16T01:07:53,C,KA72983,50013,7,114,1,1,3,13,1,2025-06-16 01:07:53,48,1,20,7,6,1,0,2,757,1025,3.06,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Shivamogga,Shivamogga District & Sessions Court,Police Station,Shivamogga Town PS,KA16886,Anand Gowda,Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/11/166/2025/0014,CC/2025/050014,2025-11-17,Burglary incident reported at commercial establishment. Locked doors broken open and cash stolen.,2025-11-16T07:03:03,2025-11-16T07:03:03,2025-11-17T01:03:03,13.9454,75.5181,"Incident near coordinates 13.9454, 75.5181",Crimes Against Body,Assault,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Mahesh Hegde,53,Private Employee,Hindu,General,Male,Ramesh Puri,54,Female,0,Abhishek Kuruba,54,Male,A14,1.0,2025-11-17T01:03:03,Karnataka,Shivamogga,Shivamogga Town PS,KA22759,Shivamogga District & Sessions Court,Abhishek Kuruba,,2025-11-17T01:03:03,C,KA81632,50014,11,166,2,1,2,7,1,2025-11-17 01:03:03,54,1,7,7,11,1,0,3,201,1898,3.79,2,1,0
